Table
RDS KEY ,LICENSE NAME ,STREET ,CITY ,ST ,RIFLE MFG 
98100053 ,AXTELL RIFLE CO INC ,353 MILL CREEK RD ,SHERIDAN ,MT ,18 
98155388 ,C SHARPS ARMS CO INC ,100 CENTENNIAL DR ,BIG TIMBER ,MT ,272 
98135432 ,COOPER FIREARMS OF MONTANA INC ,4004 HWY 93 N ,STEVENSVILLE ,MT ,2739 
98100366 ,LAWTON MACHINE LLC ,580 1/2 NORTH MONTANA STREET ,DILLON ,MT ,32 
98100033 ,MONTANA RIFLE CO ,3172 HIGHWAY 35 ,KALISPELL ,MT ,766 
98133799 ,POWDER RIVER RIFLE CO INC ,201 CENTENNIAL DR ,BIG TIMBER ,MT ,582 
98135405 ,"PURSLEY, AARON & OTTO, RONALD ROBERT ",159 2ND AVE ,BIG SANDY ,MT ,5 
98100414 ,SERENGETI RIFLES INC ,2860 FARM TO MARKET ,KALISPELL ,MT ,32 
15639696 ,"CHANDLER, NORMAN A ",100 RADCLIFFE CIRCLE ,JACKSONVILLE ,NC ,17 
15601244 ,"MAYO, JAMES ARTHUR JR ",2411 RHYNE RD ,DALLAS ,NC ,26 
15601231 ,"OGLESBY, DONALD J ",753 N MCCULLEN RD ,FAISON ,NC ,7 
15600135 ,WWW USA LLC ,3305 WESTWOOD IND DR ,MONROE ,NC ,5 
54733630 ,"HATCHER, TODD M ",76650 RD 342 ,ELSIE ,NE ,20 
54700082 ,"HINELINE, DAVID CARL ",724 E 15TH ST ,SOUTH SIOUX CITY ,NE ,2 
60200452 ,"EMPIRE RIFLE COMPANY LLC, THE ",36 JENNEY RD ,MERIDEN ,NH ,35 
60200034 ,MODERN MUZZLELOADING INC ,153 W MAIN ST ,CONWAY ,NH ,2 
60201484 ,"STURM, RUGER & COMPANY, INC ",411 SUNAPEE ST ,NEWPORT ,NH ,217562 
60233754 ,THOMPSON CENTER ARMS CO INC ,FARMINGTON RD ,ROCHESTER ,NH ,45171 
82200079 ,"ST PIERRE, THOMAS V ",506 ONE MILE RD S ,HIGHTSTOWN ,NJ ,3 
58500280 ,BORCHARDT RIFLE CORP ,9732 HWY 180 W ,SILVER CITY ,NM ,9 
98800094 ,ARSENAL INC ,4395 W POST RD UNIT 100 ,LAS VEGAS ,NV ,2803 
98835501 ,CALICO LIGHT WEAPON SYSTEMS ,1489 GREG ST ,SPARKS ,NV ,4 
98835368 ,SHARON AS INC ,325 A GROSH AVE ,DAYTON ,NV ,2 
98835495 ,U JS ORDNANCE INC ,"2500 VALLEY RD UNITS R, S, T ",RENO ,NV ,61 
98800535 ,"WEISMAN, DENNIS I J ",1929 WESTERN AVE ,LAS VEGAS ,NV ,3 
61134915 ,ARGUS PUBLICATIONS INC ,110 8TH ST ,BROOKLYN ,NY ,94452 
61600463 ,"HOJNICKI, DAVID ",2720 MERKLE RD ,ATTICA ,NY ,1 
61334276 ,KIMBER MFG INC ,1 LAWTON ST ,YONKERS ,NY ,10431 
61100308 ,LRB OF LONG ISLAND INC ,32 CHERRY LANE ,FLORAL PARK ,NY ,251 
61600727 ,REMINGTON ARMS CO INC ,14 HOEFLER AVE ,ILION ,NY ,187760 
43437450 ,BALOGH JAMES ,13566 INDIAN HOLLOW RD ,GRAFTON ,OH ,52 
43435702 ,BEEMILLER INC ,1015 SPRINGMILL RD ,MANSFIELD ,OH ,14600 


