Table
,STREET ,CITY ,ST ,RIFLE MFG 
,,WINDER ,GA ,32 
,,RINGGOLD ,GA ,3 
CORP LLC ,2408 TECH CENTER PARKWAY BUILDING H SUITE 150 ,LAWRENCEVILLE ,GA ,212 
,35 MACON DR ,CATAULA ,GA ,2 
,,JEFFERSON ,GA ,36 
,1690 HWY 34 E STE D ,NEWNAN ,GA ,5 
LLC ,"1270 PROGRESS CENTER AVENUE, SUITE 100 ",LAWRENCEVILLE ,GA ,208 
"WORKS, LLC ",178 HIGH POINT RD ,WOODBINE ,GA ,3 
,6936 OLD WHELCHEL RD ,DAHLONEGA ,GA ,48 
,4236 NEWTON RD SOUTH ,MILLEN ,GA ,45 
,,WARRENTON ,GA ,1 
INC ,783 CAUDELL RD ,HOMER ,GA ,28 
,101 WARFIGHTER WAY ,BLACK CREEK ,GA ,5 
,,DALLAS ,GA ,156 
,439 RIVERBEND DR ,MACON ,GA ,30 
,,SPRINGFIELD ,GA ,1 
,,GRAYSON ,GA ,2 
LLC ,214 S GRANT ST ,FITZGERALD ,GA ,14 
,,MABLETON ,GA ,7 
,,BUFORD ,GA ,6 
,6116 HWY 515 NORTH STE D ,ELLIJAY ,GA ,31 
,,EASTANOLLEE ,GA ,3 
,,AUGUSTA ,GA ,17 
,,ROSSVILLE ,GA ,7 
,,SHILOH ,GA ,10 
,1486 CHERRY RD ,FRANKLIN ,GA ,12 
,,RISING FAWN ,GA ,12 
LLC ,1205 WASHINGTON STREET ,JEFFERSON ,GA ,22 
LLC ,2282 MARK WATSON ROAD ,NASHVILLE ,GA ,25 
,92 WALNUT LN ,CHATSWORTH ,GA ,9 
,,VIDALIA ,GA ,18 
,208 MEADOW CREEK WAY ,WOODSTOCK ,GA ,2 
,,CALHOUN ,GA ,4 


Table
15807146 ,ACCURATE ORDNANCE LLC ,724 PATRICK INDUSTRIAL LN STE 100 
15804769 ,ACRW LLC ,4884 CLOUD SPRINGS RD 
15806236 ,ADVANCED ARMAMENT ,
15808553 ,ALANS ARMORY LLC ,
15805214 ,"AMERICAN PRECISION ARMS, LLC ",55 LYLE FIELD ROAD 
15806220 ,"AR BUNKER INC, THE ",
15802643 ,BP FIREARMS COMPANY ,
15807676 ,CAPT JERRY'S WEAPON ,
15808264 ,CHESTATEE FIREARMS LLC ,
15806154 ,COLLIER RIFLES LLC ,
15806912 ,COMPETITIVE SHOOTER SERVICES LLC ,890 SHURLEY RD 
15808273 ,COUNTRY BOY ENTERPRISES ,
15800675 ,DANIEL DEFENSE INC ,
15806454 ,DEFENSE RESEARCH & DEVELOPMENT LLC ,268 CADILLAC PKWY STE 104 
15804577 ,"DULONG, RONALD STEVENS ",
15807743 ,DUMAS MARKETING INC ,403 CHESTNUT STREET 
15809989 ,EAD ENTERPRISES INC ,89 PURPLETOP DRIVE 
15811330 ,FITZGERALD ORDNANCE ,
15810253 ,GA MUNITIONS LLC ,5845 JACKARANDA DR 
15808657 ,GEORGIA GUN CLUB LLC ,1951 BRASELTON HIGHWAY 
15807319 ,"GUN PRO SHOPS LLC, THE ",
15810421 ,"HARRIS, STEPHEN TIMOTHY ",627 FREEMAN CREEK ROAD 
15811403 ,"HENSLEY, WILLIAM HOWARD JR ",3010 WASHINGTON RD 
15800115 ,"HERITAGE CUSTOM ARMS, LLC ",250 KELLER RD 
15808210 ,"HILDERBRAND, MONROE C JR ",1606 N MAIN ST 
15801270 ,HISTORIC ARMS LLC ,
15811376 ,"HOLT, RANDY & PAMELA ",2548 SCENIC HWY 
15807443 ,"INTEGRITY ARMS & SURVIVAL, ",
15803294 ,J WHIDDEN RIFLEWORKS ,
15811218 ,JE FIREARMS LLC ,
15806481 ,KAVOD CUSTOM LLC ,110 E MEADOWS ST 
15807905 ,KINETIC FIREARMS LLC ,
15808622 ,LONG CREEK FIREARMS INVESTMENTS LLC ,216 GREYSTONE DR SE 


