Table
RDS KEY ,LICENSE NAME ,STREET ,City ,ST ,RIFLE EXP 
99200798 ,"WILD WEST GUNS, LLC ",7100 HOMER DRIVE ,ANCHORAGE ,AK ,62 
57134716 ,WILSONS GUN SHOP INC ,2452 CR 719 ,BERRYVILLE ,AR ,4 
98603200 ,BAR-S MACHINE INC ,2575 N HWY 89 ,CHINO VALLEY ,AZ ,625 
98605042 ,PSYCONSUL LLC ,1485 WEST WAGONWHEEL ROAD ,COTTONWOOD ,AZ ,1 
98600947 ,BOBCAT WEAPONS INC ,2934 W WINDSOR AVE ,PHOENIX ,AZ ,16 
98603998 ,BEST SHOT LLC ,7314 W COLUMBINE DR ,PEORIA ,AZ ,9 
98608017 ,"COPELAND, CLIFFORD D ",5001 S ANTELOPE DR ,FORT MOHAVE ,AZ ,6 
98600788 ,PATRIOT ORDNANCE FACTORY INC ,23011 N 16TH LANE ,PHOENIX ,AZ ,48 
98605978 ,GRAYSKULL ARMORY LLC ,22871 W SOLANO DR ,BUCKEYE ,AZ ,2 
98608012 ,BEAVER CREEK SERVICE CENTER INC ,3718 BEAVER CREEK RD ,RIMROCK ,AZ ,4 
98604893 ,NAMMO TACTICAL AMMUNITION CO LLC ,4051 N HIGLEY RD BUILDING 50 ,MESA ,AZ ,1 
98602487 ,"MCMILLAN FIREARMS MANUFACTURING, LLC ",23606 N 19TH AVE STE 10&12 ,PHOENIX ,AZ ,81 
98605201 ,AWC SYSTEMS TECHNOLOGY LLC ,23606 N 19TH AVE STE 10-12 ,PHOENIX ,AZ ,5 
96804429 ,ECHO FIREARM REFINISHING AND ARMORY ,641 JULIGA WOODS #D ,RICHMOND ,CA ,15 
97703560 ,EXETER GUNSLINGERS INC ,202 E MAPLE ST ,EXETER ,CA ,5 
97737552 ,WEATHERBY INC ,1605 COMMERCE WAY ,PASO ROBLES ,CA ,355 
99501494 ,"TO, CHANG ",11626 MCBEAN DR ,EL MONTE ,CA ,86 
96803689 ,"TITUS, DAN L ",888 MARKET ST ,COLUSA ,CA ,3 
97703515 ,"SMITH, FREDERICK ADAM ",735 PINE STREET ,OAKDALE ,CA ,1 
99501568 ,"JOELLSON, MICHAEL RUSSO ",19153 COLIMA RD ,ROWLAND HEIGHTS ,CA ,8 
97700758 ,"GEORGE, DAVID ",229 E HARTLEY AVE ,RIDGECREST ,CA ,1 
58404425 ,ALAN & WILLIAM ARMS INC ,28271 CR 9 ,WILD HORSE ,CO ,1 
58402309 ,M+M INC ,10909 IRMA DRIVE ,NORTHGLENN ,CO ,10 
60633345 ,COLT'S MANUFACTURING COMPANY LLC ,545 NEW PARK AVE ,WEST HARTFORD ,CT ,18036 
60601143 ,B M TOOL & MANUFACTURING CORP ,67 ENTERPRISE DRIVE ,MONROE ,CT ,2 
60600729 ,STAG ARMS LLC ,515 JOHN DOWNEY DR ,NEW BRITAIN ,CT ,375 
15940806 ,KEL TEC CNC INDUSTRIES INC ,1475 COX ROAD ,COCOA ,FL ,1678 
15918134 ,ADAMS ARMS LLC ,1551 GUNN HIGHWAY ,ODESSA ,FL ,1 
15930933 ,SOUTHERNMOST GUNS INC ,5613 3RD AVE ,KEY WEST ,FL ,3 
15930580 ,FAIRBANKS AND FAIRBANKS INC ,405 SOUTH K STREET ,PENSACOLA ,FL ,8 
15931590 ,BLACK WIDOW GUNS AND AMMO UNLIMITED INC ,38436 STATE ROAD 19 ,UMATILLA ,FL ,6 
15922110 ,SOUTHERN STAR SUPPLIERS LLC ,2885 ELECTRONICS DR UNIT D-6 ,MELBOURNE ,FL ,3 
15917454 ,"KNIGHT, CHARLES REED JR ",701 COLUMBIA BLVD ,TITUSVILLE ,FL ,145 
15940998 ,KNIGHTS MANUFACTURING CO ,701 COLUMBIA BLVD ,TITUSVILLE ,FL ,15 
15917575 ,ADVANCED WEAPONS & FIREARMS LLC ,1508 INDUSTRIAL DR ,NEW SMYRNA BEACH ,FL ,2 
15909552 ,GOOD TIME OUTDOORS INC ,4600 W HIGHWAY 326 ,OCALA ,FL ,26 


