Table
,,,,STREET ,CITY ,ST ,RIFLE MFG 
,,,,9470 SOUTH 560 WEST ,SANDY ,UT ,17 
,,,,509 E 200 S ,PLEASANT GROVE ,UT ,19 
LLC ,,,,1010 W KERSHAW ,OGDEN ,UT ,49 
LLC ,,,,564 WEST 9320 S ,SANDY ,UT ,46 
,,,,9525 SWEET BLOSSOM DR ,SOUTH JORDAN ,UT ,2 
,,,,98 WEST 300 SOUTH - UNIT #25 ,MILLVILLE ,UT ,3 
,,,,1995 WEST ALEXANDER STREET ,WEST VALLEY CITY ,UT ,709 
,,,,1135 W SUNSET BLVD ,ST GEORGE ,UT ,4 
LLC ,,,,2500 S DECKER LAKE BLVD STE 6 ,WEST VALLEY ,UT ,4 
,,,,6708 SOUTH AIR PORT RD ,WEST JORDAN ,UT ,47 
,,,,10041 APLOMADO DRIVE ,SANDY ,UT ,3 
,,,,491 E 2650 N ,NORTH LOGAN ,UT ,33 
,,,,304 WEST 400 SOUTH ,MANTI ,UT ,1 
,,,,5141 W 11100 N ,HIGHLAND ,UT ,1 
,,,,3749 SAGE BROOK CIRCLE ,MAGNA ,UT ,11 
LLC ,,,,387 N 300 W ,CEDAR CITY ,UT ,16 
,,,,5408 W 10180 N ,HIGHLAND ,UT ,4 
,,,,623 E 2550 N ,OGDEN ,UT ,40 
LLC ,,,,545 W 9460 S ,SANDY ,UT ,15 
,,,,736 N MAIN ST ,CEDAR CITY ,UT ,37 
,,,,352 NORTH 400 EAST ,LEHI ,UT ,7 
LLC ,,,,2485 SOUTH 1350 WEST ,LOGAN ,UT ,85 
SUPPRESSOR SYSTEMS ,,,LLC ,280 WEST CENTRAL AVE ,MURRAY ,UT ,42 
,,,,512 NORTH MAIN ST ,KANARRAVILLE ,UT ,1 
,,,,12441 S 4380 W ,PAYSON ,UT ,34 
,,,,181 N COMMERCIAL ST ,MORGAN ,UT ,48 
,,,,610 NO INDUSTRIAL RD ,ST GEORGE ,UT ,16 
,,,,710 W CENTER ST ,MARYSVALE ,UT ,43 
,,,,1342 E CENTER ST ,SPANISH FORK ,UT ,28 
,,,,681 SOUTH 1600 WEST ,LEWISTON ,UT ,2 
,,,,5165 N EAGLES VIEW DR ,LEHI ,UT ,222 
,,,,3621 A SOUTH 4700 WEST ,WEST HAVEN ,UT ,2 


