Table
RDS KEY ,LICENSE NAME ,STREEI ,CITY ,ST ,MISC FA MFG
99202142 ,ANKLE DEEP LLC ,8841 RICHARDSON HWY ,SALCHA ,AK ,10
99201602 ,HELLION TACTICAL ARMS LLC ,20740 DRIFT WOOD BAY DR ,EAGLE RIVER ,AK ,5
99202068 ,"R2DB, INC ",2600 W HACKAMORE RD ,WASILLA ,AK ,1
99202097 ,"TRI-JET PRECISION CUTTING SERVICES, LLC ",1960 S EKLUTNA ST ,PALMER ,AK ,29
99201566 ,VALLEY ARMORY LLC ,1140 EAST ESTY CIR ,PALMER ,AK ,100
16303111 ,"CLARK, GREGORY E ",1157 PHILLIPS RD ,LANETT ,AL ,2
16305125 ,D & D DESIGN & MACHINE ,195 COMM SCOPE WAY ,SCOTTSBORO ,AL ,1
16304506 ,"HOLT, HIRAM B ",102 MASTERS DRIVE ,ATHENS ,AL ,34
16335030 ,"HOPE, DAVID NICHOLAS ",901 GLAZE DR ,BESSEMER ,AL ,113
16304700 ,MHT DEFENSE LLC ,1039 COUNTY RD 256 ,WEDOWEE ,AL ,11
57104076 ,BLUE PANDA ARMS LLC ,1113 BLAND RD ,LITTLE ROCK ,AR ,5
57104736 ,"BRADSHAW, HAROLD EUGENE II ",3110 MOONLIGHTING PL ,BRYANT ,AR ,8
57103826 ,CRUCIBLE ARMAMENT LLC ,3529 E NETTLETON STE J ,JONESBORO ,AR ,3
57100388 ,"GENERAL DYNAMICS-OTS, INC ",1/2 MI W HWY 303 ,HAMPTON ,AR ,20
57104537 ,P O ARMORY LLC ,182 DAKOTA TRL ,POCAHONTAS ,AR ,1
98600962 ,"ABRAMS AIRBORNE MFG, INC ",3735 N ROMERO RD ,TUCSON ,AZ ,376
98608059 ,AMERICAN SPIRIT INVESTMENTS LLC ,16001 N GREENWAY HAYDEN LOOP STE B ,SCOTTSDALE ,AZ ,38
98602530 ,"ARIZONA ARMORY, LLC ",2114 W FILLMORE ,PHOENIX ,AZ ,13
98607999 ,ARIZONA RIFLEWORKS LLC ,3629 W ESCUDA DR ,GLENDALE ,AZ ,24
98605726 ,BIG IRON GUN WORKS LLC ,1505 S SUNNYVALE CIR ,MESA ,AZ ,4
98607912 ,BLACK METAL FIREARMS LLC ,4868 S BEAR LN ,SIERRA VISTA ,AZ ,28
98607747 ,C SQUARE MACHINE WORKS LLC ,"516 E JUANITA AVE STE 3, 5 & 6 ",MESA ,AZ ,18
98607696 ,C2 TACTICAL LLC ,8475 S EMERALD DR STE 106 ,TEMPE ,AZ ,41
98607852 ,CHAMBERED GROUP USA LLC ,15605 W ROOSEVELT ST STE 113 ,GOODYEAR ,AZ ,30
98605918 ,CRAZZY JOE'S LLC ,12110 W BENITO DR ,ARIZONA CITY ,AZ ,100
98607195 ,D & E CUSTOMS AND ENGRAVING LLC ,2152 N BELLA VISTA LN ,BENSON ,AZ ,18
98604171 ,DEFENSE U LLC ,2161 WEST CALLE GUATAMOTE ,GREEN VALLEY ,AZ ,3
98605628 ,DESERT FIREARMS FINISHES LLC ,2240 W DESERT COVE AVE #104 ,PHOENIX ,AZ ,11
98606533 ,DESERT FIREARMS FINISHES LLC ,7125 EAST INDIGO ST ,MESA ,AZ ,62
98605521 ,E3 ARMS LLC ,2100 COLLEGE DR UNIT#108 ,LAKE HAVASU CITY ,AZ ,1532
98608158 ,"HISER, BILLIE AND LOTT, GARY ",3243 THUNDERBIRD CANYON RD ,KINGMAN ,AZ ,3
98606503 ,KE ARMS LLC ,4343 E MAGNOLIA ST ,PHOENIX ,AZ ,403
98606455 ,LAYKE TACTICAL LLC ,3330 W OSBORN RD ,PHOENIX ,AZ ,59
98606619 ,MASTERMOLDING INCORPORATED ,5525 W LATHAM ST STE 1 ,PHOENIX ,AZ ,580
98606209 ,"MCALISTER, KENNETH ",291 E OCOTILLO RD UNIT 27 ,CHANDLER ,AZ ,9


