Table
City ,ST ,RIFLE EXP 
ST ONGE ,SD ,1 
STURGIS ,SD ,24 
MURFREESBORO ,TN ,218 
DUNCANVILLE ,TX ,45 
HOUSTON ,TX ,9 
WEST JORDAN ,UT ,8 
STERLING ,VA ,2 
OLYMPIA ,WA ,52 
,,65669 


Table
34606554 ,MILLER ARMS INC 
34606531 ,DAKOTA ARMS INC 
16236907 ,BARRETT FIREARMS MFG INC 
57542125 ,"LAU, MICHAEL RICHARD "
57634159 ,BRILEY MANUFACTURING INC 
98706281 ,LAR MANUFACTURING INC 
15422338 ,HECKLER & KOCH INC 
99114520 ,OLYMPIC ARMS INC 


