Table
STREET ,CITY ,ST ,RIFLE MFG
6984 S UFIZZI CT ,W JORDAN ,UT ,2
2779 DIRECTORS ROW ,SALT LAKE CITY ,UT ,1813
98 WEST 300 SOUTH - UNIT #25 ,MILLVILLE ,UT ,4
4133 WEST FARM RD ,WEST JORDAN ,UT ,1122
270 W 500 NO ,NORTH SALT LAKE ,UT ,1477
2090 N REDWOOD RD #40 ,SALT LAKE CITY ,UT ,234
RT 114 ,RADFORD ,VA ,106
86 WEST STREET ROAD ,FAIRFIELD ,VT ,2
236 BRYCE BLVD ,FAIRFAX ,VT ,10655
2338 HOLGATE ST S ,TACOMA ,WA ,610
75B ABBOTT RD ,ELMA ,WA ,125
624 OLD PACIFIC HWY SE ,0LYMPIA ,WA ,6554
279 LAMBERT CREEK RD ,REPUBLIC ,WA ,1
30217 108TH SE ,AUBURN ,WA ,1
3380 REEVES RD ,SUNNYSIDE ,WA ,3
S 107 CROSBY ,TEKOA ,WA ,5
6319 5TH AVE ,BANCROFT ,WI ,74
N5391 COUNTY RD S ,POUND ,WI ,98
3601 129TH ST ,CHIPPEWA FALLS ,WI ,283
W 266 N 1455 NORTH AVE ,WAUKESHA ,WI ,11
214 PRICE ST ,GRANVILLE ,WV ,97
113 W YELLOWSTONE ,CODY ,WY ,127
,,,


Table
98700523 ,858 ENGINEERING INC
98787363 ,ARMS TECHNOLOGY INC
98700554 ,"ECHOLS, D'ARCY "
98706281 ,LAR MANUFACTURING INC
98700368 ,VECTOR ARMS INC
98734724 ,"ZDF IMPORT/EXPORT, LLC "
15400704 ,ALEXANDER ARMS LLC
60300182 ,"BILLADO, KEITH A "
60333217 ,CENTURY ARMS INC
99101098 ,AERO PRECISION INC
99137453 ,"JOHNSON, VALERIE ANNE "
99114520 ,0LYMPIC ARMS INC
99138355 ,"SWEETLAND, RUSSELL F & VIRGINIA "
99100854 ,TOTAL SILENCE INC
99100572 ,"TUCKER, MARK S "
99100713 ,WAFFENFABRIK HEIN LLC
33900732 ,EAST RIDGE GUN CO INC
33937339 ,"GRAETZ, ERIC JAY "
33900697 ,"LAUER, STEVEN MICHAEL "
33901004 ,"RAETHER, GARY PAUL "
45500132 ,MELVIN FORBES ENTERPRISES LLC
58300386 ,BALLARD RIFLE LLC


