Table
RDS KEY ,LICENSE NAME ,STREET ,CITY ,ST ,RIFLE MFG 
16403224 ,DAKOTA RIFLES LLC ,3 BRIARWOOD CIRCLE ,LONG BEACH ,MS ,7 
16402616 ,DIXIE PRECISION RIFLES LLC ,100 BROOKS DR SUITE B ,BRANDON ,MS ,23 
16402579 ,"DVP, LLC ",6611 PAXTON RD ,VICKSBURG ,MS ,1 
16403539 ,FIANNA SYSTEMS LLC ,2974 JEFFERSON ST ,MACON ,MS ,1 
16403286 ,J & K SALES LLC ,2450 STONEBRIDGE RD ,GREENVILLE ,MS ,8 
16403198 ,"KELLY, THOMAS MARSHALL ",72 HWY 607 ,PICAYUNE ,MS ,12 
16402769 ,"LUNDEBO, DAVID LYNN ",1350 TEASDALE RD ,OAKLAND ,MS ,19 
16403788 ,MID STATE FIREARMS LLC ,607 DAVID DR ,CLINTON ,MS ,5 
16401380 ,"SMITH, DAVID E ",7265 DEAN RD ,LAKE CORMORANT ,MS ,7 
16403274 ,"SPARACELLO, FRANK JASON ",1731 DANCY BLVD SUITE 4 ,HORN LAKE ,MS ,1 
16403609 ,"WILLIAMS, ELMER DEWAYNE ",402 FRONTAGE HWY 49 NORTH ,BENTONIA ,MS ,2 
16403277 ,"WILSON, WILLIAM CLARK ",7347 HWY 568 W ,MAGNOLIA ,MS ,1 
16401960 ,"WOODS, WILLIAM S JR ",60026 INDIAN CIRCLE ,SMITHVILLE ,MS ,3 
98101785 ,ACUTECH LLC ,3816 HWY 40 ,COLUMBIA FALLS ,MT ,33 
98101051 ,"ALLEN, KIRBY LEROY ",99 STEVENSON RD ,FORT SHAW ,MT ,33 
98101324 ,AMERICAN HUNTING RIFLES INC ,1711 MOUNTAIN VIEW ORCHARD RD ,CORVALLIS ,MT ,3 
98101714 ,BARKER MACHINE WORKS LLC ,1369 HWY 93 N #9 ,VICTOR ,MT ,10 
98101384 ,"BENNETT, HECTOR E ",874 NORTH RIVER ROCK DR ,BELGRADE ,MT ,5 
98155388 ,C SHARPS ARMS CO INC ,100 CENTENNIAL DR ,BIG TIMBER ,MT ,165 
98101132 ,COOPER FIREARMS OF MONTANA INC ,3662 US HWY 93 NORTH ,STEVENSVILLE ,MT ,3092 
98101187 ,DEFIANCE MACHINE INC ,3881 MT HWY 40 W ,COLUMBIA FALLS ,MT ,2 
98101608 ,DIVERSE CAPABILITIES LTD ,6681 MALTESE LN ,BOZEMAN ,MT ,2 
98102023 ,ELKHORN PRECISION LLC ,265 PATTERSON RANCH LN STE 2 ,COLUMBIA FALLS ,MT ,4 
98101169 ,"FEMLING, ARTHUR O ",309 N HAZEL ST ,PLENTYWOOD ,MT ,5 
98101484 ,"GARDINER, JAXON TY ",34 VIVIAN LN ,BIG TIMBER ,MT ,1 
98101025 ,GENTRY CUSTOM LLC ,314 N HOFFMAN ST ,BELGRADE ,MT ,13 
98101104 ,"GORDNER, GENE FRANKLIN ",646 S FOYS LAKE DR ,KALISPELL ,MT ,8 
98102061 ,HAYWIRE GULCH ATHLETIC CLUB LLC ,172 FRONTIER TRAIL ,KALISPELL ,MT ,2 
98101746 ,JACK INC ,620 3RD AVE W ,THREE FORKS ,MT ,3 
98101174 ,KING MACHINE SERVICE LTD ,100 DUSTY TRL ,KILA ,MT ,2 
98101775 ,KNAPP'S CUSTOM RIFLES & MANUFACTURING LLC ,415 HORSETHIEF RD ,ROUNDUP ,MT ,8 
98101677 ,"MCCONNELL, NOAH LEE ",464 ASH ROAD SUITE D ,KALISPELL ,MT ,14 


