Table
,,,,,STREET ,City ,ST ,RIFLE EXP
FIREARMS LTD ,,,,,5151 MITCHELLDALE ST STE B-14 ,HOUSTON ,TX ,88
,,,,,RD ,SUGAR LAND ,TX ,4
INC ,,,,,INDUSTRIAL BLVD MAVERICK CO DEVLPT PARK ,EAGLE PASS ,TX ,5753
,,,,,HWY 96 S ,EVADALE ,TX ,18
,,,,,,MINEOLA ,TX ,15
SHOOTING LLC ,,,,,4888 KENNEDALE NEW HOPE RD ,FORT WORTH ,TX ,5
,,,,,2907 FM 1910 W ,JACKSONVILLE ,TX ,2
,,,,,N SUITE A ,NORTH SALT LAKE ,UT ,1045
,,,,,"CEMETERY ROAD, BUILDING ",GUNNISON ,UT ,216
,,,,,ALEXANDER STREET ,WEST VALLEY CITY ,UT ,407
,,,,,CENTER ST ,WELLSVILLE ,UT ,1
,,,,,4700 WEST ,WEST HAVEN ,UT ,3
,,,,,"2697 INTERNATIONAL PKWY STE 4-180, 4-140 & 3-136 ",VIRGINIA BEACH ,VA ,282
,,,,,LN ,CONCORD ,VA ,6
INTERNATIONAL GROUP INC ,,,,,84 BUSINESS PARK CIR ,RUCKERSVILLE ,VA ,8
,,,,,5725 ARROWHEAD DR ,VIRGINIA BEACH ,VA ,2
,,,,,RADFORD ARSENAL RTE 114 ,RADFORD ,VA ,9
INC ,,,,,236 BRYCE BLVD ,GEORGIA ,VT ,1
,,,,,RD ,ELMA ,WA ,
LLC ,,,,,2118 WISCONSIN AVE ,NEW HOLSTEIN ,WI ,134
,,,,,MARQUETTE RD ,PRAIRIE DU CHIEN ,WI ,9
,,,,,STREET ,BURLINGTON ,WY ,44


Table
57603521 ,HIGH STANDARD ,,
57602197 ,TAZEWELL ENTERPRISES INC ,730 SARTARTIA ,
57434208 ,"MAVERICK ARMS, ",,
57603671 ,"MITCHELL, RONALD ",43460 US ,
57507610 ,EAST TEXAS ARMORY LLC ,228 E BROAD ,
57507990 ,2A FREEDOM ,,
57501378 ,C&R MACHINE INC ,,
98734724 ,"ZDF IMPORT/EXPORT, LLC ",925 W 100 ,
98734710 ,TDJ INC ,550 NORTH ,
98701385 ,DESERT TECH LLC ,#1 1995 WEST ,
98702291 ,WEIGH OF THE BULLET LLC ,163 SOUTH ,
98700383 ,"STAIR, BRAD S ",3621 A ,SOUTH
15402925 ,"KRISS USA, INC ",,
15403090 ,"CAMPBELL, ALLEN WAYNE ",264 BENCHREST ,
15405440 ,ASHBURY ,,
15407836 ,"M3 TACTICAL, LLC ",,
15403245 ,ALEXANDER INDUSTRIES INC ,US ARMY BLDG 3701 ,
60333217 ,CENTURY ARMS ,,
99137453 ,"JOHNSON, VALERIE ANNE ",75B ABBOTT ,
33903955 ,THUREON DEFENSE ,,
33906094 ,KSTARKY ENTERPRISES LLC ,716 S ,
58300591 ,GUNWERKS LLC ,220 MAIN ,


