Table
,,,,,,,STREET ,CITY ,ST ,RIFLE MFG
,,,,,,,6315 RICE LAKE ROAD ,DULUTH ,MN ,818
SUPPLY LLC ,,,,,,,3232 E 32ND STREET ,JOPLIN ,MO ,9
,,,,,,,812 N KURZWEIL RD ,RAYMORE ,MO ,15
LLC ,,,,,,,6606 NE ANTIOCH RD ,GLADSTONE ,MO ,11
,,,,,,,750 GRANDVIEW DR ,HILLSBORO ,MO ,4
LLC ,,,,,,,1209 SWIFT ST ,NO KANSAS CITY ,MO ,126
,,,,,,,1511 N OHIO ,SEDALIA ,MO ,53
,,,,,,,11685 GATEWAY DR ,NEOSHO ,MO ,7371
,,,,,,,#1 BROWNING PLACE ,ARNOLD ,MO ,20223
,,,,,,,704 W KARSCH BLVD ,FARMINGTON ,MO ,25
,,,,,,,10816 EWING ,KANSAS CITY ,MO ,1
,,,,,,,620 COUNTY ROAD 118 ,FAYETTE ,MO ,12679
,,,,,,,29832 250TH ST ,LA GRANGE ,MO ,2
LLC ,,,,,,,405 EAST 13TH AVE ,NORTH KANSAS CITY ,MO ,33
,,,,,,,916 CR 281 ,AUXVASSE ,MO ,4
,,,,,,,809 CATANIA DR ,BALLWIN ,MO ,2
,,,,,,,1141 SWIFT ST ,NORTH KANSAS CITY ,MO ,830
LLC ,,,,,,,1133 KONERT VALLEY DR ,FENTON ,MO ,4
,,,,,,,606 PRINCETON GATE DR ,CHESTERFIELD ,MO ,1
,,,,,,,1212 CENTRAL INDUSTRIAL AVE ,SAINT LOUIS ,MO ,188
LLC ,,,,,,,4680 A STATE HWY 74 ,CAPE GIRARDEAU ,MO ,74
,,,,,,,9598 B S.W. CR 178 ,RICH HILL ,MO ,3
,,,,,,,20170 CO RD 525 ,BLOOMFIELD ,MO ,2
MACHINE CO INC ,,,,,,,3616 SCARLET OAK BLVD ,SAINT LOUIS ,MO ,1
,,,,,,,222 E SOUTH ST ,BENTON ,MO ,14
,,,,,,,1830 COLBURN RD ,CABOOL ,MO ,4
,,,,,,,4451 E FARM RD 132 ,SPRINGFIELD ,MO ,28
RANGE LLC ,,,,,,,2215 KENDALLWOOD RD ,COLUMBIA ,MO ,1
,,,,,,,800 BILTMORE DR ,FENTON ,MO ,26
,,,,,,,20 WESTGATE LANE ,TROY ,MO ,3
,,,,,,,910 E BLUFF DR ,SPRINGFIELD ,MO ,2
,,,,,,,62 MARTIN RD ,STEELVILLE ,MO ,3


Table
54309989 ,4 STATES SHOOTERS
54303752 ,ABSOLUTE ACCURACY LLC
54309353 ,ACCURACY INDUSTRIES
54310088 ,AMSDEN FIREARMS LLC
54305437 ,BADGER ORDNANCE
54306466 ,BLACK DAWN INDUSTRIES LLC
54306127 ,BLACK RAIN ORDNANCE INC
54305666 ,BROWNING
54305482 ,"CEDAR FALLS TACTICAL, LLC "
54303997 ,CGR LLC
54301610 ,CMMG INC
54310160 ,COMPOUND DESIGNS LLC
54309531 ,CRESCENT CUSTOMS
54306585 ,"DELASHMUTT, RAYMOND "
54308604 ,EJC ENTERPRISES LLC
54303217 ,G A PRECISION LLC
54309775 ,GATEWAY TACTICAL
54309645 ,"HERZOG, STEPHEN ELLIS "
54309516 ,HIPPO ARMS LLC
54304643 ,JACKSON SERVICES
54308741 ,"JACOBS, JOHN ALBERT "
54305900 ,JWB MACHINE LLC
54304857 ,KEMCO TOOL AND
54311165 ,KENNARD ARMS LLC
54306842 ,"LAWSON, ROBERT D "
54308917 ,LUTHERIECORP INC
54311205 ,M & P ARMORY AND
54306352 ,M M O COMPANIES INC
54309732 ,"MCCARTHY, KEVIN P "
54338894 ,"MCELYEA, BRUCE E "


