Table
CITY ,ST ,SHOTGUN EXP 
BERRYVILLE ,AR ,11 
BERRYVILLE ,AR ,29 
PASO ROBLES ,CA ,2387 
MIAMI ,FL ,4464 
ORLANDO ,FL ,1 
DEERFIELD BEACH ,FL ,6 
SUWANEE ,GA ,4 
WESTFIELD ,MA ,56 
ACCOKEEK ,MD ,754 
NEWPORT ,NH ,70 
RENO ,NV ,71 
ILION ,NY ,250 
LEETONIA ,OH ,6 
UPPER SANDUSKY ,OH ,99 
BLAIR ,OK ,6 
LYONS ,OR ,8 
EAGLE PASS ,TX ,35138 
ARLINGTON ,VA ,1 


Table
57101188 ,NIGHTHAWK CUSTOM LLC 
57134716 ,WILSONS GUN SHOP INC 
97737552 ,WEATHERBY INC 
15947645 ,BRAZTECH INTERNATIONAL LC 
15904068 ,CUBIC SIMULATION SYSTEMS INC 
15906911 ,MVB INDUSTRIES INC 
15840168 ,MEGGITT TRAINING SYSTEMS INC 
60433152 ,"SAVAGE ARMS, INC "
85207699 ,BERETTA U S A CORPORATION 
60200735 ,"STURM, RUGER & COMPANY INC "
98800913 ,LEGACY SPORTS INTERNATIONAL LLC 
61600727 ,REMINGTON ARMS CO INC 
43402567 ,RIVER SERVICES INC 
43402108 ,ITHACA GUN COMPANY 
57302943 ,"THOMAS, KOREY RICK & MELISSA DAWN "
99302709 ,R & R RACING INC 
57434208 ,"MAVERICK ARMS, INC "
15402781 ,"METAL STORM, INC "


