Table
STREET ,City ,ST ,RIFLE EXP 
400 NORTH MAIN STREET ,ROCHESTER ,NH ,6503 
12 & 18 INDUSTRIAL DR ,EXETER ,NH ,878 
529 SUNAPEE ST ,NEWPORT ,NH ,25823 
59 E 1ST ST ,BAYONNE ,NJ ,3011 
4750 LONGLEY LN STE 207-210 ,RENO ,NV ,4045 
1 LAWTON ST ,YONKERS ,NY ,369 
100 AIRPARK DR ,ROCHESTER ,NY ,146 
231 SALTONSTALL ST ,CANANDAIGUA ,NY ,50 
7222 DALTON FOX LAKE RD ,NORTH LAWRENCE ,OH ,61 
30 SE COURT AVE ,PENDLETON ,OR ,4 
107 SW COLUMBIA ST ,BEND ,OR ,44 
1325 SHELDON HILL ROAD ,SPRINGVILLE ,PA ,2 
15223 STATE ROUTE 87 ,WILLIAMSPORT ,PA ,129 
1301 TURBINE DR ,RAPID CITY ,SD ,199 
5926 MILLER LANE ,MURFREESBORO ,TN ,363 
INDUSTRIAL BLVD MAVERICK CO DEVLPT PARK ,EAGLE PASS ,TX ,13141 
"550 NORTH CEMETERY ROAD, BUILDING #1 ",GUNNISON ,UT ,166 
"980 SOUTH 700 WEST, STE 11 ",SALT LAKE CITY ,UT ,62 
925 W 100 N SUITE A ,NORTH SALT LAKE ,UT ,300 
264 BENCHREST LN ,CONCORD ,VA ,6 
800 SEAHAWK CIRCLE SUITE 138 ,VIRGINIA BEACH ,VA ,25 
2697 INTERNATIONAL PARKWAY SUITE 4- 180 ,VIRGINIA BEACH ,VA ,4 
1148 INDUSTRY DRIVE ,TUKWILA ,WA ,494 
214 PRICE ST ,GRANVILLE ,WV ,2 
220 MAIN STREET ,BURLINGTON ,WY ,294 


Table
60200897 ,THOMPSON CENTER ARMS CO INC 
60201128 ,SIG SAUER INC 
60200735 ,"STURM, RUGER & COMPANY, INC "
82200698 ,HENRY RAC HOLDING CORP 
98800913 ,LEGACY SPORTS INTERNATIONAL LLC 
61334276 ,KIMBER MFG INC 
61601132 ,"AMCHAR WHOLESALE, INC "
61602170 ,JUST RIGHT CARBINES LLC 
43437065 ,KELBLY'S RIFLE RANGE INC 
99302489 ,HAMLEYS LLC 
99301142 ,"NOSLER, INC "
82338992 ,"BORDEN, JAMES F "
82300479 ,PNEU DART INC 
34633475 ,H S PRECISION INC 
16236907 ,BARRETT FIREARMS MFG INC 
57434208 ,"MAVERICK ARMS, INC "
98734710 ,TDJ INC 
98701385 ,DESERT TECHNOLOGY & MFG LLC 
98734724 ,"ZDF IMPORT/EXPORT, LLC "
15403090 ,"CAMPBELL, ALLEN WAYNE "
15405200 ,RPT CONSULTING LLC 
15402925 ,KRISS USA INC 
99103260 ,HURRICANE BUTTERFLY RESEARCH CORPORATION 
45500132 ,MELVIN FORBES ENTERPRISES LLC 
58300591 ,GUNWERKS LLC 


