Table
,,,STREET ,CITY ,ST ,MISC FA MFG
,,,,FOUNTAIN VALLEY ,CA ,849
,,,,WEST HARTFORD ,CT ,774
,,,45 ANGEVINE RD ,WARREN ,CT ,1905
,,,6975-79 NW 43RD ST ,MIAMI ,FL ,1
,,,,CAMBRIDGE ,MD ,2
INTERNATIONAL ,,LLC ,999 ROOSEVELT TRL ,WINDHAM ,ME ,32
,,,,LANSING ,MI ,11
ELECTRONICS ,LLC ,,3000 ARNOLD TENBROOK RD ,ARNOLD ,MO ,21
,,,,COLUMBIA FALLS ,MT ,81
,,,3174 MT HWY 35 ,KALISPELL ,MT ,26
INC ,,,310 PARK DR ,CHARDON ,0H ,77
,,,,PLAIN CITY ,0H ,87
,,,,NORTH LAWRENCE ,0H ,75
,,,A ,POWELL BUTTE ,0R ,1
,,,,SPRINGVILLE ,PA ,19
,,,,DOYLESTOWN ,PA ,59
,,,DEVLPT ,EAGLE PASS ,TX ,12646
FIREARMS LLC ,,,2405 COUNTRY MEADOW LN ,WYLIE ,TX ,96
,,,,ENNIS ,TX ,6
,,,,ASOTIN ,WA ,3


Table
93301038 ,"SUREFIRE, LLC ",18300 MT BALDY CIRCLE
60600520 ,COLT DEFENSE LLC ,547 NEW PARK AVE
60601905 ,WILDEY F A INC ,
15952429 ,R/M EQUIPMENT INC ,
85202358 ,LWRC INTERNATIONAL LLC ,815 CHESAPEAKE DRIVE
60100956 ,BUSHMASTER FIREARMS ,
43800250 ,PIERCE ENGINEERING LTD ,5122 N GRAND RIVER
54301691 ,ARNOLD DEFENSE AND ,
98101187 ,DEFIANCE MACHINE INC ,3881 MT HWY 40 W
98101151 ,MONTANA RIFLE COMPANY ,
43401651 ,0HIO ORDNANCE WORKS ,
43134110 ,AMERICAN APEX CORPORATION ,8515 RAUSCH DRIVE
43437065 ,KELBLY'S RIFLE RANGE INC ,7222 DALTON FOX LAKE RD
99301643 ,"BARTELS, JOSEPH C ",18111 SW MT ADAMS LOOP BLDG
82338992 ,"BORDEN, JAMES F ",1325 SHELDON HILL ROAD
82313090 ,NAVAL CO INC ,4747 COLD SPRING CREAMERY RD
57434208 ,"MAVERICK ARMS, INC ",INDUSTRIAL BLVD MAVERICK CO PARK
57541806 ,STILLERS PRECISION ,
57503419 ,SHILEN RIFLES INC ,205 METRO PARK BLVD
99102873 ,"ANDREWS, DENTON P ",13263 SNAKE RIVER RD


