Table
,STREET ,CITY ,ST ,RIFLE MFG 
,#25 ,MILLVILLE ,UT ,3 
ARMS INC ,980 S 700 W #11 ,SALT LAKE CITY ,UT ,65 
,,WEST JORDAN ,UT ,2 
LLC ,12261 SOUTH 5200 WEST ,PAYSON ,UT ,5 
,,KANARRAVILLE ,UT ,10 
,,OGDEN ,UT ,4 
LLC ,2090 N REDWOOD RD #40 ,SALT LAKE CITY ,UT ,959 
,RTE 114 ,RADFORD ,VA ,371 
,,COVINGTON ,VA ,5 
,,CONCORD ,VA ,3 
CHARLES DAVID ,2766 MT ZION RD ,WOODLAWN ,VA ,1 
,,BOYCE ,VA ,2 
,,VINTON ,VA ,33 
"PAWNBROKERS, INC ",21 WATER ST ,FRONT ROYAL ,VA ,4 
LLC ,340 WATKINS FARM RD ,RUSTBURG ,VA ,4 
,PARKWAY SUITE 4- ,VIRGINIA BEACH ,VA ,525 
RICKIE GROVE ,6 SAWTOOTH LN ,MARTINSVILLE ,VA ,3 
,,BERRYVILLE ,VA ,1 
ENTERPRISES LTD ,332 DUCKS LAKE RDG ,SCOTTSVILLE ,VA ,3 
LLC ,425 SOUTHLAKE BLVD SUITE 1B ,RICHMOND ,VA ,3 
INC ,2735 VALESTRA CIR ,OAKTON ,VA ,1 
,,VINTON ,VA ,4 
INDUSTRIES LLC ,153 STAFFORD AVE ,MORRISVILLE ,VT ,5878 
,,GEORGIA ,VT ,28239 
SOLUTIONS INC ,590 E MAIN ST ,HYDE PARK ,VT ,88 
,,TACOMA ,WA ,12938 
LLC ,5985 S 6TH WAY ,RIDGEFIELD ,WA ,1 
,,RENTON ,WA ,15 
,,MOSES LAKE ,WA ,10 
,,BREMERTON ,WA ,2 
RAY ,212 BLACK CROW WAY ,WASHOUGAL ,WA ,4 
,,ABERDEEN ,WA ,2 
DEAN W ,303 ABERT AVE ,RICHLAND ,WA ,5 
"FEA, BUREAU OF ALCOHOL, ","TOBACCO, FIREARMS AND EXPLOSIVES ",For Official Use Only ,,


Table
98700554 ,D'ARCY ECHOLS & COMPANY ,98 WEST 300 SOUTH - UNIT 
98701003 ,DESERT TACTICAL ,
98706281 ,LAR MANUFACTURING INC ,4133 WEST FARM RD 
98700919 ,"NEWMAN ARMS, ",
98701000 ,"PAWELEC, RICHARD S ",512 NORTH MAIN ST 
98701053 ,WASATCH PRECISION ARMS LLC ,155 WEST 14TH ST 
98734724 ,"ZDF IMPORT/EXPORT, ",
15403245 ,ALEXANDER INDUSTRIES INC ,US ARMY RADFORD ARSENAL BLDG 3701 
15403538 ,"BROUGHMAN, ROBERT ALLAN ",314 HORSE MTN VIEW 
15403090 ,"CAMPBELL, ALLEN WAYNE ",264 BENCHREST LN 
15401454 ,"CLEMENTS, ",
15438765 ,CUSTOM GUNSMITHING INC ,11876 LORD FAIRFAX HWY 
15403847 ,"FRANKLIN, GEORGE RICHARD ",10431 STEWARTSVILLE RD 
15404180 ,FRONT ROYAL ,
15404700 ,GAINES GUNWORKS ,
15402925 ,"KRISS USA, INC ",2697 INTERNATIONAL 180 
15403244 ,"MCDONALD, ",
15403791 ,SPYGLASS TACTICAL FIREARMS LLC ,7322 LORD FAIRFAX HWY 
15402682 ,TOM THUMB ,
15402741 ,UNITED ARMAMENT ,
15405180 ,US TACTICAL ,
15404043 ,WEST CUSTOM RIFLES INC ,1052 SLOW WALK DR 
60300433 ,AREOTEK ,
60333217 ,CENTURY ARMS INC ,236 BRYCE BLVD 
60300350 ,MANUFACTURING ,
99101098 ,AERO PRECISION INC ,2338 HOLGATE ST 
99102626 ,ALLEGIANT ARMS ,
99101775 ,BLACKWELL INDUSTRIES INC ,16552 121 AVE SE 
99100409 ,"CAUDLE, CARL EUGENE ",9368 ROAD 10 NE 
99102746 ,"CLOES, RICHARD YATES ",4710 ILLAHEE RD NE 
99102839 ,"GOLA, KENNETH ",
99100445 ,"HENSLEY, DALE E ",516 SCHOOL ROAD 
99102026 ,"HUMPHRYS, ",


