Table
,,,,,STREET ,CITY ,ST ,RIFLE MFG
,,,,,,,WI ,396
,,,,,,,WI ,1
,,,,,,DELLS ,WI ,40
,,,,,,,WI ,4
ARMS GUN CO INC ,,,,,6319 5TH AVE ,BANCROFT ,WI ,24
LLC ,,,,,2391 GEMINI RD ,GREEN BAY ,WI ,1
,,,,,,,WI ,27581
,,,,,W99 N12425 FARMDALE RD ,MEQUON ,WI ,19
,,,,,,,WI ,1
,,,,,12311 ASSEMBLY RD ,GRANTSBURG ,WI ,1
,,,,,W 226 N 4165 SUNDER CREEK CT ,PEWAUKEE ,WI ,32
,,,,,,,WI ,12
,,,,,,FALLS ,WI ,163
LLC ,,,,,601 SOUTH MAIN STREET ,0SHKOSH ,WI ,45
,,,,,,,WI ,3
LLC ,,,,,N80W14966 APPLETON AVENUE ,MENOMONEE FALLS ,WI ,32
,,,,,,,WI ,1
LLC ,,,,,2927 ROEMER RD ,APPLETON ,WI ,2
,,,,,,,WI ,40
,,,,,100 E HAVEN DR ,WATERTOWN ,WI ,16
,,,,,1117 VELVET LEAF DR ,MADISON ,WI ,4
,,,,,,,WI ,32
,,,,,,,WI ,2
,,,,,61729 WEISTER RD ,ASHLAND ,WI ,1
,,,,,1452 SHERIDAN RD ,KENOSHA ,WI ,18
,,,,,,,WI ,1
,,,,,226 S WALES RD ,WALES ,WI ,12
,,,,,,,WI ,11
,,,,,,,WV ,7
ARMORY INC ,,,,,301 N MILDRED ST ,RANSON ,WV ,26
,,,,,74 DUPONT RD SUITE A ,MARTINSBURG ,WV ,47
,,,,,,,WV ,2


Table
33906519 ,CRUSADER ARMS LLC ,N27 W23591 PAUL ROAD ,PEWAUKEE
33904626 ,CUSTOM SERVICES LLC ,E10590 PINE ROAD ,FALL CREEK
33905871 ,DEZ TACTICAL ARMS INC ,795 PLUM STREET ,WISCONSIN
33905137 ,EAGLE ARMAMENT LLC ,9054 CR Y #3 ,SAUK CITY
33900732 ,EAST RIDGE / STATE ,,
33907555 ,GADSDEN SERVICES ,,
33903022 ,HENRY WISCONSIN LLC ,107 W COLEMAN ,RICE LAKE
33907302 ,"HUBERT, DALE B ",,
33907913 ,ION GROUP LLC ,W213S7530 ANNES WAY ,MUSKEGO
33907330 ,JB'S FIREARMS LLC ,,
33907085 ,JEMAK LLC ,,
33904776 ,KUSTOM ARMS LLC ,1408 SOUTHRIDGE DR ,NEW LONDON
33900697 ,"LAUER, STEVEN MICHAEL ",3601 129TH ST ,CHIPPEWA
33903873 ,LONG RANGE RIFLES ,,
33903655 ,"MARSHALL, LARRY ELON ",N 2851 ANTONY RD ,BANGOR
33907431 ,MGS HOLDINGS GROUP ,,
33906762 ,0AK RIDGE GUNSMITHING LLC ,N2516 PINE TREE RD ,MONROE
33906684 ,0EM TECHNOLOGIES ,,
33907592 ,0NETIME UNLIMITED LLC ,W4953 GRITTNER ST ,WESTBORO
33905869 ,PEEPS & JAWA LLC ,,
33908094 ,SCHELLKORP LLC ,,
33904639 ,SCOTSMAN ARMS LLC ,320 PUTNAM STREET SUITE 7 ,EAU CLAIRE
33907420 ,SELECT FIRE WEAPONRY LLC ,2325 PARKLAWN DRIVE UNIT B ,WAUKESHA
33906873 ,THE GUN GARAGE LLC ,,
33906714 ,THE GUN SHOP LLC ,,
33906689 ,TOM E GUN LLC ,1720 N CLAIRMONT AVENUE ,EAU CLAIRE
33908067 ,WISCONSIN GUNS LLC ,,
33908049 ,WISCONSIN PRECISION ARMS LLC ,N2591 WENHAM RD ,FORT ATKINSON
45503081 ,FORTRESS FIREARMS MANUFACTURING LLC ,145 HICKS DR ,PETERSBURG
45503183 ,HARPERS FERRY ,,
45502891 ,"HOSTETTER, MARK A ",,
45503699 ,LOD DEFENSE LLC ,3977 MOUNT CLARE RD ,MOUNT CLARE
45500132 ,MELVIN FORBES ENTERPRISES LLC ,438 MIRANOV ST ,GRANVILLE


