Table
,,,STREET ,CITY ,ST ,RIFLE MFG
,,,5650 GREENWOOD PLAZA BLVD STE 139 ,GREENWOOD VILLAGE ,CO ,78
,,,COUNTY ROAD 2 ,BRIGHTON ,CO ,1
,,,24005 HWY 13 ,MEEKER ,CO ,3
,,,ST VRAIN AVE ,FREDERICK ,CO ,93
LLC ,,,6153 GARRISON ST ,ARVADA ,CO ,2
,,,1631 P ROAD ,LOMA ,CO ,20
,,,JUANA ,COLORADO SPRINGS ,CO ,2
,,,CASCADE AVE STE 103 ,COLORADO SPRINGS ,CO ,9
,,,COUNTY RD # 137 ,BENNETT ,CO ,4
,,,BROOKWOOD DR ,COLORADO SPRINGS ,CO ,10
,,,KELBRAN LN ,WELLINGTON ,CO ,2
,,,10909 IRMA DRIVE ,NORTHGLENN ,CO ,190
,,,MULBERRY ST ,FORT COLLINS ,CO ,20
,,,40 ,AKRON ,CO ,6
,,,7252 EATON CIRCLE ,WESTMINSTER ,CO ,42
,,,1523 W HIGHWAY 34 ,LOVELAND ,CO ,3
ACCESSORIES LLC ,,,3731 MONARCH ST ,ERIE ,CO ,38
,,,SKYWAY DR UNIT P ,LONGMONT ,CO ,61
,,,HILL PLACE SOUTH ,WOODLAND PARK ,CO ,29
,,,NORWOOD DRIVE ,LITTLETON ,CO ,16
,,,WALNUT ST ,WINDSOR ,CO ,1
LLC ,,,545 31 RD ,GRAND JUNCTION ,CO ,1
,,,0SWEGO CT ,AURORA ,CO ,44
,,,SOL DR ,DURANGO ,CO ,20
SPLINTERS LLC ,,,3400 ERVING CT ,BERTHOUD ,CO ,46
,,,928 13TH ST SUITE 5 ,GREELEY ,CO ,20
,,,IVANHOE DR ,COLORADO SPRINGS ,CO ,7
LLC ,,,3575 STAGECOACH RD ,LONGMONT ,CO ,17
,,,577 BERKSHIRE RD ,SOUTHBURY ,CT ,5
,,,8 DIANE DR ,MONROE ,CT ,49
,,,TECHNOLOGY PARK DRIVE ,TORRINGTON ,CT ,1
COMPANY LLC ,,,545 NEW PARK AVE ,WEST HARTFORD ,CT ,117263
,,,,,,


Table
58401869 ,GODDARD ENTERPRISES LLC ,8495 ,WELD ,
58403287 ,GRE-TAN RIFLES LLC ,,,
58405531 ,GUNS & ROSES INC ,5138 ,MT ,
58405486 ,HELODRIVER20 PRODUCTIONS ,,,
58401680 ,HERITAGE ARMS INC ,,,
58404875 ,HICKMAN RIFLES LLC ,411 B ,TIA ,
58404227 ,HIGH TECH CUSTOMS INC ,3109 ,N ,
58404368 ,HOMELAND GUNSMITHING LLC ,915 ,SOUTH ,
58406824 ,KEPPDEZIN LLC ,1932 ,,
58407097 ,LIBERTY OR DEATH INC ,7795 ,,
58402309 ,M+M INC ,,,
58405669 ,M4 PRECISION LLC ,3507 ,E ,
58404693 ,"MCCAFFREY, ANTHONY JAY ",24415 ,CR ,
58404134 ,MCDUFFEE ARMS LLC ,,,
58400531 ,"MCKINNEY, RICHARD PHILLIP ",,,
58405850 ,MILE HIGH SHOOTING ,,,
58405752 ,PHOENIX WEAPONRY LLC ,1822 ,,
58406045 ,"PODEMSKI, MICHAEL CHESTER JR ",759 ,GOLD ,
58407114 ,PRECISION ARMAMENT ENGINEERING INC ,3718 ,,
58405517 ,REAPER INNOVATIVE PRECISION LLC ,1227 ,,
58405726 ,ROCKY MOUNTAIN GUN CLUB ,,,
58404996 ,ROCKY MOUNTAIN GUNS INC ,647 ,SOUTH ,
58407038 ,ROCKY MOUNTAIN PECISION RIFFLES INC ,385 ,MIRA ,
58406756 ,STEVENSONS SPARKS N ,,,
58404401 ,TACTICOOL ARMS LLC ,,,
58407214 ,TAYLOR FIREARMS TRAINING LLC ,2214 ,,
58404115 ,TRIGGER TIME GUN CLUB ,,,
60602781 ,ALPHA DOG DESIGN LLC ,,,
60603711 ,BLACK TIDES GROUP LLC ,,,
60602917 ,CLASSIC CARBINES AND FIREARMS INC ,91 ,,
60633345 ,COLT'S MANUFACTURING ,,,


