Table
,,STREET ,CITY ,ST ,RIFLE MFG
A ,,5158 HERMAN ST ,BARROW ,AK ,2
,,,MONTGOMERY ,AL ,1
,,,BERRYVILLE ,AR ,474
ARMS CORP ,,15001 N HAYDEN RD #112 ,SCOTTSDALE ,AZ ,197
,,,SURPRISE ,AZ ,52
MOUNTAIN ARMS INC ,,3145 W HIDDEN ACRES ,PRESCOTT ,AZ ,39
,,1415 S CHERRY ,TUCSON ,AZ ,28
,,,PHOENIX ,AZ ,275
,,,MAYER ,AZ ,1
INC ,,21438 N 7TH AVE SUITE B ,PHOENIX ,AZ ,56
LLC ,,,MESA ,AZ ,378
,,,PRESCOTT ,AZ ,3305
,,,PHOENIX ,AZ ,11
,,,PRESCOTT ,AZ ,1
ORDNANCE INTERNATIONAL CORP ,,1701 W 10TH ST #14 ,TEMPE ,AZ ,1
,,,IRWINDALE ,CA ,512
,,,CASTELLA ,CA ,1
,,,SANTEE ,CA ,3
,,,SAN LOUIS OBISPO ,CA ,5
RAYMOND ,,1653 PLUM LANE ,REDLANDS ,CA ,129
RIFLEWORKS INC/JOHN RIBGY ,& ,CO 500 LINNE RD STE D ,PASO ROBLES ,CA ,13
L ,,12049 BORON AVE ,BORON ,CA ,28
,,,FOUNTAIN VALLEY ,CA ,20
,,237 27 1/4 RD #1 ,GRAND JUNCTION ,CO ,4
,,600 OAK AVE ,EATON ,CO ,250
,,,LOVELAND ,CO ,2
LLC ,,998 N COLONY RD ,MERIDEN ,CT ,2567
,,,WEST HARTFORD ,CT ,2934
MANUFACTURING CO LLC ,,545 NEWPARK AVE ,WEST HARTFORD ,CT ,13556
,,,SEYMOUR ,CT ,700
FRANCIS ,,140 HUYSHOPE #430 ,HARTFORD ,CT ,2
,,100 KENNA DR ,NORTH HAVEN ,CT ,257116
,,,NORTH HAVEN ,CT ,3088


Table
99200195 ,,
16300524 ,,208 SHARON LANE
57134716 ,WILSONS GUN SHOP INC ,2234 CR 719
98638020 ,AMERICAN SPIRIT ,
98638243 ,,16014 WEST REMUDA DR
98638035 ,GRANITE ,
98637328 ,,
98635726 ,,1638 W KNUDSON SUITE B
98600112 ,,19546 E WAGONTRAIN DR
98636542 ,,
98638190 ,SPECIAL WEAPONS ,
98614472 ,STURM RUGER & CO INC ,200 RUGER RD
98600513 ,VM HY-TECH LLC ,2701 W GROVERS AVE SUITE 100
98600187 ,,110 N SUMMIT
98643797 ,WESTERN ,
99537023 ,ENTREPRISE ARMS INC ,15861 BUSINESS CENTER DR
96837751 ,,27373B FAT BEAR WAY
93337167 ,GUIETTE MANUFACTURING INC ,10704 PROSPECT AVE STE D
97737736 ,,390 BUCKLEY RD
93340084 ,,
97738092 ,ROGUE RIV ,
97738185 ,,
93340699 ,,18225 BROOKHURST # 19
58437358 ,,
58437579 ,AWI LLC ,
58400531 ,,1523A BIG THOMPSON CANYON RD
60635944 ,AR-7 INDUSTRIES ,
60600520 ,COLT DEFENSE LLC ,547 NEW PARK AVE
60633345 ,COLT'S ,
60600308 ,JV PRECISION MACHINE CO ,71 COGWHEEL LN
60600062 ,,
60600252 ,MARLIN FIREARMS ,
60600773 ,0 F MOSSBERG & SONS INC ,7 GRASSO AVE


