Table
City ,ST ,RIFLE EXP 
RAPID CITY ,SD ,54 
STURGIS ,SD ,7 
DUNCANVILLE ,TX ,6 
WEST JORDAN ,UT ,2 
OLYMPIA ,WA ,396 
,,
,,


Table
STREET 
1301 TURBINE DR 
1310 INDUSTRY RD 
906 MIDDLE RUN 
4133 WEST FARM RD 
624 OLD PACIFIC HWY SE 


Table
34633475 ,H S PRECISION INC 
34606531 ,DAKOTA ARMS INC 
57542125 ,"LAU, MICHAEL RICHARD "
98706281 ,LAR MANUFACTURING INC 
99114520 ,OLYMPIC ARMS INC 


