Table
RDS KEY ,LICENSE NAME ,STREET ,CITY ,ST ,PISTOL 22 ,PISTOL 25 ,PISTOL 32 ,PISTOL 380 ,PISTOL 9MM ,PISTOL 50 ,PISTOL TOTAL 
,,MEMORIAL DR ,,,,,,,,,
60410395 ,SMITH & WESSON CORP ,2100 ROOSEVELT AVE ,SPRINGFIELD ,MA ,O ,O ,O ,O ,32486 ,21182 ,53668 
85207699 ,BERETTA U S A CORPORATION ,17601 BERETTA DR ,ACCOKEEK ,MD ,3262 ,1915 ,10069 ,O ,30626 ,12279 ,58151 
60106460 ,SMITH & WESSON CORP ,19 AVIATION DR ,HOULTON ,ME ,9560 ,O ,O ,7 ,O ,0 ,9567 
34137259 ,E ARTHUR BROWN CO INC ,4353 STATE HWY 27 E ,ALEX ,MN ,11 ,O ,13 ,O ,2 ,O ,26 
34136294 ,HESSE LTD ,9487 INVER GROVE TRAIL ,INVER GROVE HEIGHTS ,MN ,O ,O ,8 ,O ,O ,O ,8 
34136894 ,"JOHNSON, RICK A ",2159 CTY RD 2 ,BALATON ,MN ,O ,O ,O ,O ,O ,11 ,11 
54339122 ,"ED BROWN PRODUCTS, INC ",43825 MULDROW TRAIL ,PERRY ,MO ,O ,O ,O ,O ,O ,117 ,117 
54339397 ,"HUNTER, ROBERT EDWARD JR ",8039 SW FAIRVIEW RD ,OSBORN ,MO ,O ,O ,O ,O ,O ,1 ,1 
98135453 ,"BARKER, DONALD R ",1600 MEETEETSE TRAIL RD ,BELFRY ,MT ,3 ,0 ,O ,O ,O ,O ,3 
98100158 ,"COBRA ENTERPRISES, INC ",5078 N HWY 287 #14 ,ENNIS ,MT ,1664 ,61 ,599 ,1339 ,348 ,73 ,4084 
98135543 ,TALON INDUSTRIES INC ,5078 N HWY 287 #12 ,ENNIS ,MT ,O ,0 ,0 ,1238 ,2824 ,0 ,4062 
54734146 ,CYLINDER & SLIDE INC ,245 E 4TH ST ,FREMONT ,NE ,O ,O ,O ,1 ,4 ,7 ,12 
60234248 ,COMPETITOR CORP INC ,"26 KNIGHT STREET, UNIT 3 ",JAFFREY ,NH ,18 ,1 ,34 ,O ,O ,9 ,62 
60233754 ,THOMPSON CENTER ARMS CO INC ,FARMINGTON RD ,ROCHESTER ,NH ,1778 ,826 ,3326 ,0 ,0 ,2030 ,7960 
82200079 ,"ST PIERRE, THOMAS V ",506 ONE MILE RD S ,HIGHTSTOWN ,NJ ,O ,0 ,O ,O ,O ,1 ,1 
61334276 ,KIMBER MFG INC ,1 LAWTON ST ,YONKERS ,NY ,O ,0 ,O ,O ,O ,32746 ,32746 
43435702 ,BEEMILLER INC ,1015 SPRINGMILL RD ,MANSFIELD ,OH ,O ,0 ,O ,18299 ,32579 ,0 ,50878 
43419291 ,HASKELL MANUFACTURING INC ,585 EAST BLUE LICK RD ,LIMA ,OH ,O ,O ,O ,O ,O ,8000 ,8000 
43434316 ,IBERIA FIREARMS INC ,3929 STATE RT 309 ,GALION ,OH ,0 ,0 ,0 ,O ,0 ,5330 ,5330 
43436235 ,"JONES, JOHNDAVID ",590 WOODVUE LANE ,WINTERSVILLE ,OH ,2 ,3 ,10 ,1 ,O ,3 ,19 
43100419 ,M O A CORPORATION ,2451 OLD CAMDEN PK ,EATON ,OH ,2 ,3 ,6 ,O ,O ,0 ,11 
57300751 ,NOWLIN CUSTOM MFG INC ,20622 S 4092 RD ,CLAREMORE ,OK ,O ,O ,O ,O ,21 ,78 ,99 
15710236 ,FN MFG INC ,797 CLEMSON RD ,COLUMBIA ,SC ,O ,0 ,O ,O ,684 ,0 ,684 
34633475 ,H S PRECISION INC ,1301 TURBINE DR ,RAPID CITY ,SD ,2 ,7 ,8 ,O ,O ,O ,17 
16200523 ,LEINAD INC ,221 HWY 68 N ,DUCKTOWN ,TN ,0 ,0 ,O ,320 ,1000 ,6401 ,7721 
16200694 ,"MARLOWE, PATRICK ",319 HOLLYWOOD DRIVE ,OLD HICKORY ,TN ,O ,O ,O ,O ,O ,3 ,3 
57421953 ,AMERICAN DERRINGER CORP ,127 N LACY DR ,WACO ,TX ,24 ,0 ,15 ,518 ,66 ,1171 ,1794 
57541153 ,BOND ARMS INC ,204 ALPHA LN ,GRANBURY ,TX ,O ,0 ,8 ,O ,339 ,1622 ,1969 
57438309 ,EXO-DIMENSIONAL INC ,4209B CLAWSON RD ,AUSTIN ,TX ,0 ,0 ,O ,O ,0 ,2 ,2 
57600160 ,FIREARMS INTERNATIONAL INC ,5200 MITCHELLDALE ,HOUSTON ,TX ,110 ,O ,0 ,O ,O ,225 ,335 


