Table
,,,STREET ,CITY ,ST ,RIFLE MFG 
& SONS INC ,,,7 GRASSO AVE ,NORTH HAVEN ,CT ,363 
FIREARMS CO ,,,100 KENNA DR ,NORTH HAVEN ,CT ,258383 
,,,344 WINCHESTER AVE ,NEW HAVEN ,CT ,112010 
,,,1328 CLEMENTS WOODS LN ,JACKSONVILLE ,FL ,1 
,,,BLDG 6 UNIT 3 170 CELESTIAL WAY ,JUNO BCH ,FL ,
INDUSTRIES INC ,,,1475 COX ROAD ,COCOA ,FL ,571 
REED JR ,,,7750 9TH ST SW ,VERO BEACH ,FL ,284 
MANUFACTURING CO ,,,7750 9TH ST SW ,VERO BEACH ,FL ,682 
,,,1406 CAPITAL CIR NE #D ,TALLAHASSEE ,FL ,2 
WEAPONRY SERVICE INC ,,,25220 W NEWBERRY RD ,NEWBERRY ,FL ,9 
CORP ,,,801 W 49TH ST #111 ,HIALEAH ,FL ,1 
,,,6001 JOHNS RD #144 ,TAMPA ,FL ,200 
,,,3761 RECKER HWY ,WINTER HAVEN ,FL ,2 
,,,719 WHITE DR ,ALFORD ,FL ,138 
,,,250 KELLER RD ,ROSSVILLE ,GA ,8 
,,,116 KINGSBRIDGE DRIVE ,CARROLLTON ,GA ,25 
INC ,,,24276 240TH ST ,CARROLL ,IA ,512 
DONVAL R ,,,15858 ALLENDALE RD ,WILDER ,ID ,1 
,,,11550 N-BRUSS RD ,RATHDRUM ,ID ,5 
LESTER ,,,26884 PEARL RD ,PARMA ,ID ,14 
,,,6521 MORTON DR ,BOISE ,ID ,4 
,,,1140 36TH ST N SUITE B ,LEWISTON ,ID ,2968 
,,,1981 BLIZZARD MT RD ,ARCO ,ID ,4 
,,,720 N ORCHARD ,BOISE ,ID ,8 
,,,9536 KUNA RD ,KUNA ,ID ,30 
,,,745 S HANFORD ST ,GENESEO ,IL ,8246 
,,,27W990 INDUSTRIAL AVE ,LAKE BARRINGTON ,IL ,1378 
,,,1305 W 11TH ST ,MILAN ,IL ,2 
,,,101 NOBLE ST ,CLEVELAND ,IL ,1245 
,,,420 W MAIN ST ,GENESEO ,IL ,8124 
GERALD PAUL JR ,,,617 W PORTER ST ,CROWN POINT ,IN ,1337 
EDWARD RAY ,,,RR 1 BOX 174 ,CARBON ,IN ,1 
MARK ,,,312 COLLEGE AVE ,NORTH MANCHESTER ,IN ,1 


Table
60600760 ,THE MARLIN 
60636056 ,US REPEATING ARMS COMPANY 
15939794 ,B & K DIVING SYSTEMS INC 
15984505 ,"BIGGS, JOHN J ALSO SEE 59-59294 "
15940806 ,KEL TEC CNC 
15917454 ,"KNIGHT, CHARLES "
15940998 ,KNIGHTS 
15900738 ,"MINOR, LEE R "
15948454 ,PICKETT 
15937076 ,S A R MEG 
15946787 ,SERBU FIREARMS INC 
15946669 ,"SMITH, TIMOTHY E "
15900881 ,"WHITE, FRANK C "
15800115 ,"HERITAGE CUSTOM ARMS, LLC "
15840177 ,MASTERPIECE ARMS INC 
54235453 ,DOUBLE DEUCE 
98235103 ,"BARNARD, "
98235032 ,BAT MACHINE CO INC 
98235262 ,"GRAY, BOYD "
98235063 ,"HOENIG, GEORGE "
98200154 ,"ROGUE RIFLE COMPANY, INC "
98200093 ,"ROMANS, STEVE DALE "
98235365 ,"TIFFANY, SEAN "
98200152 ,"ULTIMATE ARMS WORKS, LLC "
33636039 ,ARMALITE INC 
33637390 ,DS ARMS INC 
33617951 ,PWA INC 
33637004 ,ROCK RIVER ARMS INC 
33635798 ,SPRINGFIELD INC 
43537660 ,"GORDON, "


