Table
,,LAFAYETTE ,LA ,5
DEFENSE ARMS LLC ,116 S MAIN ST ,SAINT MARTINVILLE ,LA ,11
ERIC JOHN ,2106 SAINT CHARLES ST ,JEANERETTE ,LA ,1
LLP ,410 COVINGTON ST ,MADISONVILLE ,LA ,20
,,BATON ROUGE ,LA ,2
,,PLAQUEMINE ,LA ,5
,,SHREVEPORT ,LA ,1
RANGE SOLUTIONS LLC ,1405 FRANK ANDREWS BLVD STE B ,ALEXANDRIA ,LA ,19
,,SHREVEPORT ,LA ,4
,,RACELAND ,LA ,1
,11 ,LAFAYETTE ,LA ,13
,,GONZALES ,LA ,11
DAVID E SR ,1214 BIG FOUR CORNERS RD ,JEANERETTE ,LA ,2
,,SHREVEPORT ,LA ,2
,,SHREVEPORT ,LA ,17
ENTERPRISES LLC ,44 ROY BLAIR RD ,DEVILLE ,LA ,16
,,IOTA ,LA ,1
GUN WORKS LLC ,281 HAGAN RD ,0AK GROVE ,LA ,9
,,PALMER ,MA ,6
,,LITTLETON ,MA ,10
FIREARMS CORP (NV) ,22 JOHN H FINLEY III WAY SUITE 103 ,FRAMINGHAM ,MA ,3
,,LITTLETON ,MA ,6
DATA CORPORATION ,627 HIGH STREET RTE 110 ,CLINTON ,MA ,2
CUSTOMS LLC ,103 BARLOWS LANDING RD UNIT 5 ,POCASSET ,MA ,12
,,WORCESTER ,MA ,8115
WESSON CORP ,2100 ROOSEVELT AVE ,SPRINGFIELD ,MA ,265356
,,WEST SPRINGFIELD ,MA ,2688
HILL MACHINE CO INC ,412 MAIN ST ,EASTHAMPTON ,MA ,6
,,FLORENCE ,MA ,84
INDUSTRIES INC ,234 S HAVEN ST ,BALTIMORE ,MD ,50
,,MECHANICSVILLE ,MD ,31
STEVEN P ,12035 OREBANK RD ,CLEAR SPRING ,MD ,7


Table
57204848 ,G&S TRANSFERS LLC ,105 KEMPTON DR
57203729 ,GLOBAL ,
57203609 ,"HEMARD, ",
57205057 ,IIA DEFENSE ,
57204816 ,JCR HOLDINGS LLC ,9683 MAMMOTH AVE
57204957 ,KASE ARMS LLC ,59385 EMMA AVE
57203445 ,KEA WEAPONS SYSTEMS LLC ,2811 FALMOTH DR
57204729 ,KMW LONG ,
57204962 ,MAMP LLC ,7699 W 70TH ST
57205133 ,"MCGEE, JOE K ",267 NEW HAVEN ST
57205714 ,MCREES PRECISION ARMS INC ,440 INDUSTRIAL PKWAY SUITE
57203726 ,MESA KINETIC RESEARCH LLC ,13238 AIRLINE HIGHWAY
57205187 ,"MOORE, ",
57203852 ,MW PRODUCTIONS LLC ,8173 S LAKESHORE DRIVE
57205462 ,PATRICKS GUN SHOP LLC ,1191 HAWN AVE
57205507 ,PRO BOHA ,
57204623 ,TITAN PRECISION RIFLES LLC ,360 EVERGREEN RD
57205326 ,WATTS ,
60412498 ,CS INDUSTRIES LLC ,13 SECOND ST
60413403 ,"DEAN, RANDALL WILSON ",410 GREAT RD STE 622Q
60406097 ,ELITE ,
60413108 ,"FINNERTY, JAMES B ",410 GREAT ROAD SUITE 622-L
60407439 ,IMAGING ,
60412377 ,KULAS ,
60435456 ,"SAEILO, INC ",130 GODDARD MEMORIAL DR
60401684 ,SMITH & ,
60404099 ,TROY INDUSTRIES INC ,151D CAPITAL DR
60413467 ,YANKEE ,
60436644 ,YANKEE HILL MACHINE CO INC ,20 LADD AVE STE 1
85202902 ,ADCOR ,
85207769 ,ALL AMERICAN MD LLC ,25506 PETAL CT
85212207 ,"BOSWELL, ",
85213126 ,"COOKE, RICHARD STARK ",3228 ATLEE RIDGE RD


