Table
WORX MFG INC ,,,,16 S ANDROS RD ,KEY LARGO ,FL ,9 
USA LLC ,,,,3905 ABBY LN ,JACKSONVILLE ,FL ,11 
,,,,3895 39TH SQUARE ,VERO BEACH ,FL ,10 
LLC ,,,,8601 49TH ST ,PINELLAS PARK ,FL ,6 
GUNSMITH LLC ,,,,8279 NW 64TH ST ,MIAMI ,FL ,12 
LLC ,,,,2040 SHORT AVE ,ODESSA ,FL ,35 
,,,,1727 NW ARCADIA WAY ,BOCA RATON ,FL ,45 
DANIEL BRIAN ,,,,18 SOLOMON DR ,CRAWFORDVILLE ,FL ,1 
,,,,6427 MILNER BLVD #5 ,ORLANDO ,FL ,6 
LLC ,,,,10781 75TH STREET N ,SEMINOLE ,FL ,20 
S ,,,,197 VILLACREST DR ,CRESTVIEW ,FL ,7 
,,,,12673 157TH ST NORTH ,JUPITER ,FL ,3 
,,,,1011 406TH COURT EAST ,MYAKKA CITY ,FL ,5 
,,,,2643 SW 64TH AVE ,MIAMI ,FL ,3 
FIREARMS INC ,,,,985 HARBOR LAKE DR UNIT 14 ,SAFETY HARBOR ,FL ,2 
INC ,,,,6019 W CHELSEA STREET ,TAMPA ,FL ,397 
LLC ,,,,1711 DALE MABRY HWY ,LUTZ ,FL ,17 
COMPANY INC ,,,,2903 SE MONROE ST ,STUART ,FL ,12 
,,,,1315 61 AVE EAST UNIT 81 ,BRADENTON ,FL ,10 
,,,,6732 HWY 19 ,NEW PORT RICHEY ,FL ,2 
GUNS INC ,,,,5613 3RD AVE ,KEY WEST ,FL ,10 
LLC ,,,,515 COOPER COMMERCE DR STE 180 ,APOPKA ,FL ,53 
RIFLES LLC ,,,,83 CARA TRAIL ,CRAWFORDVILLE ,FL ,1 
INC ,,,,36 S HWY 17-92 ,DEBARY ,FL ,34 
,,,,10388 WEST STATE RD 84 UNIT 114 ,DAVIE ,FL ,12 
LLC ,,,,1241 BISCAYNE BLVD ,DELAND ,FL ,37 
WEAPONS LLC ,,,,1301 RAILHEAD BLVD UNIT 1 ,NAPLES ,FL ,9 
INC ,,,,305 NORTH DRIVE SUITE D-H ,MELBOURNE ,FL ,3 
MANUFACTURING ,,,,INC 16175 NW 49TH AVE ,MIAMI ,FL ,103 
INC ,,,,6533 SOUTHERN BLVD BAY 1 ,WEST PALM BEACH ,FL ,2 
,,,,3212 N 40TH ST STE 801 ,TAMPA ,FL ,3 
LLC ,,,,1470 KASTNER PLACE SUITE 104 ,SANFORD ,FL ,3 


