Table
CITY ,STATE ,RIFLEX 
,,
,AZ ,13 
,AZ ,1 
,AZ ,568 
,CA ,2 
,CA ,1 
,CT ,3648 
,CT ,15884 
,CT ,5288 
,FL ,10 
,IA ,144 
,IL ,48 
,IL ,16 
,KY ,4704 
,MA ,565 
,MA ,273 
,MA ,4 
,MD ,22 
,MD ,1 
,ME ,512 
,MN ,33 
HEIGHTS ,MN ,5 
,MN ,1 
,MT ,37 
,MT ,4 
,MT ,54 
NEWPORT ,NH ,14050 
,NH ,1128 
ALBUQUERQUE ,NM ,4 
,NY ,1239 
,NY ,6 
,NY ,17068 
,OH ,99 
,OR ,10 
,OR ,5 
,PA ,2 
DUNCANNON ,PA ,2 
,SD ,44 
,TN ,134 
,TX ,13 
,TX ,1 
,UT ,2 
,WA ,1 
OLYMPIA ,WA ,156 
GRANVILLE ,WV ,5 
,,65807 


Table
98637681 ,"HARRIS GUNWORKS, INC ",20813 N 19TH AVE STE 2 ,PHOENIX 
98637328 ,"LAZZERONI, INC ",1415 S CHERRY ,TUCSON 
98614472 ,STURM RUGER & CO INC ,200 RUGER RD ,PRESCOTT 
96837677 ,"PAREDES, SAMUEL A & ",HERBE 6125 ENTERPRISES DR #8 ,DIAMOND SPRINGS 
97738092 ,ROGUE RIV RIFLEWORKS INC/JOHN ,1317 SPRING ST ,PASO ROBLES 
60633345 ,COLT'S MANUFACTURING CO ,IN 545 NEWPARK AVE ,WEST HARTFORD 
60600760 ,THE MARLIN FIREARMS CO ,100 KENNA DR ,NORTH HAVEN 
60609280 ,U S REPEATING ARMS ,COMPA 344 WINCHESTER AVE ,NEW HAVEN 
15946669 ,"SMITH, TIMOTHY E ",3761 RECKER HWY ,WINTER HAVEN 
54235539 ,MODERN MUZZLELOADING INC ,234 AIRPORT RD ,CENTERVILLE 
33636039 ,ARMALITE INC ,745 S HANFORD ST ,GENESEO 
33635798 ,SPRINGFIELD INC ,420 W MAIN ST ,GENESEO 
46137026 ,REMINGTON ARMS ,COMPA 22 RIFE TRAIL ,HICKORY 
60434429 ,H & R 1871 INC NEW ,E 60 INDUSTRIAL ROWE ,GARDNER 
60433152 ,"SAVAGE ARMS, INC ",100 SPRINGDALE RD ,WESTFIELD 
60436463 ,"ZITTA, ALLAN P ",RT 5 & 10 ,BERNARDSTON 
85207699 ,BERETTA U S A CORPORATION ,17601 BERETTA DR ,ACCOKEEK 
85211500 ,"MC KEE, INC ",8725 BOLLMAN PLACE #1 ,SAVAGE 
60134465 ,BUSHMASTER FIREARMS ,BFI/Q 999 ROOSEVELT TRAIL BLDG 3 ,WINDHAM 
34135232 ,DEFENSE PROCUREMENT MFG ,SERVI 13983 INDUSTRY AVE ,BECKER 
34136294 ,HESSE LTD ,9487 INVER GROVE TRAIL ,INVER GROVE 
34136480 ,PINE TECHNICAL COLLEGE ,1000 4TH ST ,PINE CITY 
98155388 ,C SHARPS ARMS CO INC ,100 CENTENNIAL DR ,BIG TIMBER 
98133560 ,COOPER FIREARMS INC ,4004 HIGHWAY 93 N ,STEVENSVILLE 
98133799 ,POWDER RIVER RIFLE CO INC ,201 CENTENNIAL DR ,BIG TIMBER 
60201484 ,"STURM, RUGER & CO INC ",411 SUNAPEE ST ,
60233754 ,THOMPSON CENTER ARMS CO ,IN FARMINGTON RD ,ROCHESTER 
58534617 ,"ROBERTSON, CHARLES R ",9812-A COCHITI SE ,
61134915 ,ARGUS PUBLICATIONS INC ,110 8TH ST ,BROOKLYN 
61406625 ,AUTO-ORDNANCE CORP ,WILLIAM LANE ,WEST HURLEY 
61635527 ,"REMINGTON ARMS CO, INC ",14 HOEFLER AVE ,ILION 
43437065 ,KELBLY'S RIFLE RANGE INC ,7222 DALTON FOX LAKE RD ,NORTH LAWRENCE 
99336982 ,ROGUE RIFLE COMPANY INC ,11 FIRST ST ,PROSPECT 
99337182 ,TECHNETWORK INC ,55325 TIMBER RD BLDG A ,VERNONIA 
82338992 ,"BORDEN, JAMES F ",RR 1 BOX 250BC ,SPRINGVILLE 
82339322 ,"REESER, EC; MCNAUGHTON, DE & ",SIT 2 NEWPORT RD ,
34606531 ,DAKOTA ARMS INC ,HC 55 BOX 326 ,STURGIS 
16236907 ,BARRETT FIREARMS MFG INC ,5926 MILLER LANE ,MURFREESBORO 
57634159 ,BRILEY MANUFACTURING INC ,1230 LUMPKIN ,HOUSTON 
57435691 ,"KLEINGUENTHER, ROBERT A ",1604 NORTH HEIDEKE ST ,SEGUIN 
98706281 ,LAR MANUFACTURING INC ,4133 WEST FARM RD ,WEST JORDAN 
99138062 ,ARNOLD ARMS COMPANY INC ,19007 61ST AVE NE #1 ,ARLINGTON 
99114520 ,OLYMPIC ARMS INC ,620-626 OLD PACIFIC HWY SE ,
45509942 ,"ULTRA LIGHT ARMS, INC ",214 PRICE STREET ,


