Table
,STREET ,CITY ,ST ,RIFLE MFG 
,HIDDEN COVE LN ,MOSINEE ,WI ,1 
LAVERNE J ,112 EAST ST ,POTOSI ,WI ,3 
,SOUTH MAIN STREET ,OSHKOSH ,WI ,26 
LARRY ELON ,N 2851 ANTONY RD ,BANGOR ,WI ,6 
,BRANDENBURG AVE ,MERRILL ,WI ,11 
COMPETITION LLC ,8332 196TH AVE ,BRISTOL ,WI ,12 
,COUNTY S ,PLYMOUTH ,WI ,10 
,PUTNAM STREET SUITE 7 ,EAU CLAIRE ,WI ,38 
ARMS LLC ,N6830 550TH ST ,MENOMONIE ,WI ,30 
,WISCONSIN AVE ,NEW HOLSTEIN ,WI ,778 
,BOX 115 ,PHILIPPI ,WV ,78 
TACTICAL LLC ,4641 RIPLEY RD ,REEDY ,WV ,10 
,AVE ,MORGANTOWN ,WV ,3 
ENTERPRISES LLC ,214 PRICE ST ,GRANVILLE ,WV ,113 
ARMS LLC ,26 BEAR PLACE ,NEW CREEK ,WV ,1 
,BUGRIDGE RD ,SUTTON ,WV ,2 
MANUFACTURING LLC ,387A MIDLAND TRAIL ,GAULEY BRIDGE ,WV ,3 
,REDMOND RIDGE RD ,GALLIPOLIS FERRY ,WV ,1 
,YELLOWSTONE HWY ,CODY ,WY ,48 
,ROAD 2AB ,CODY ,WY ,39 
AND DESIGN INC ,1107 PARKS RD ,WESTON ,WY ,38 
,GREASEWOOD CT ,ROZET ,WY ,2 
,WALNUT AVE ,PINE BLUFFS ,WY ,10 
LLC ,213 SOUTH AVE C1 ,CHEYENNE ,WY ,31 
,STREET ,BURLINGTON ,WY ,383 
,JACKSON ,CASPER ,WY ,9 
,SOUTH 8TH ST ,BASIN ,WY ,11 
ARMORY LLC ,356 W YELLOWSTONE AVE ,CODY ,WY ,6 


Table
33905218 ,LEAD-R LLC ,,,2160 ,,,,
33905085 ,"LEHMANN, ",,,,,,,
33903873 ,LONG RANGE RIFLES LLC ,601 ,,,,,,
33903655 ,"MARSHALL, ",,,,,,,
33904451 ,"MARTHENZE, GEORGE CHRISTOPHER IV ",,,N194 ,,,,
33904240 ,NORTHERN ,,,,,,,
33903497 ,"PROVIDENCE TOOL CO, LLC ",,,N5338 ,,,,
33904639 ,SCOTSMAN ARMS LLC ,320 ,,,,,,
33905707 ,SD TACTICAL ,,,,,,,
33903955 ,THUREON DEFENSE LLC ,,,2118 ,,,,
45500959 ,BLACKHEART INTERNATIONAL LLC ,RR ,,,,,"3, ",
45501738 ,BULLGATOR ,,,,,,,
45501161 ,"COLSMANN, ERNEST ",35 ,,,,,AXLE ,
45500132 ,MELVIN FORBES ,,,,,,,
45502305 ,NEW CREEK ,,,,,,,
45501989 ,"OBNEY, BRIAN KEVIN ",,,4515 ,,,,
45501641 ,VINTEC ,,,,,,,
45502338 ,WEST ENTERPRISES LLC ,,,3414 ,,,,
58301081 ,BEST OF THE WEST PRODUCTIONS LLC ,,115 ,,,,,
58300734 ,BIG HORN ARMORY INC ,,774 ,,,,,
58300948 ,BLISS ADVERTISING ,,,,,,,
58300887 ,D SCHIMMEL LLC 5 ,,,,,,,
58300975 ,"FORBES, MORGAN ",209 ,,,,,,
58301160 ,GRIFFIN ARMS ,,,,,,,
58300591 ,GUNWERKS LLC ,,220 ,,,,,MAIN 
58301010 ,RGS LLC ,404 ,,,,,N ,
58300619 ,"ROSENCRANSE, TREVOR S ",,610 ,,,,,
58300859 ,WYOMING ,,,,,,,


