Table
,,STREET ,CITY ,ST ,RIFLE MFG 
SPORTING ENTERPRISES ,,LLC 2244 N AL SIEBER RD ,APACHE JUNCTION ,AZ ,1 
"& COMPANY, INC ",,200 RUGER RD ,PRESCOTT ,AZ ,6 
INTERNATIONAL USA INC ,,1616 WEST IRON SPRINGS RD #3 ,PRESCOTT ,AZ ,92 
JAMES ,,3020 N 44TH ST ,PHOENIX ,AZ ,31 
MANUFACTURING LLC ,,663 W 2ND AVE STE 16 ,MESA ,AZ ,34 
,,9851 E VOLTAIRE DR ,SCOTTSDALE ,AZ ,2 
LLC ,,14870 N NORTHSIGHT BLVD #100 ,SCOTTSDALE ,AZ ,3 
WORKS LLC ,,10009 WEST JOMAX RD ,PEORIA ,AZ ,39 
A ,,1302 E RAWHIDE ,GILBERT ,AZ ,2 
LLC ,,7252 E CONCHO DR STE C-13 ,KINGMAN ,AZ ,12 
MEG INC ,,2420 N 5TH ST ,PRESCOTT VALLEY ,AZ ,7594 
MANUFACTURING INC ,,5528 N 51ST AVE ,GLENDALE ,AZ ,10 
ROBERT AND GAIL ,,103 MAIN ST ,PLACERVILLE ,CA ,12 
LLC ,,1136 SUNCAST LN STE 3 ,EL DORADO HILLS ,CA ,6 
LLC ,,633 WARRINGTON AVE ,REDWOOD CITY ,CA ,1 
WILLIAM ,,27601 FORBES #17 ,LAGUNA NIGUEL ,CA ,28 
LLC ,,781 VINCA CT ,GILROY ,CA ,1 
,,13291 CONTRACTORS LN ,CHICO ,CA ,1 
,,18430 TECHNOLOGY DR UNIT A ,MORGAN HILL ,CA ,999 
,,3440 BRADEN RD ,CAMINO ,CA ,47 
CHRISTOPHER ,,2505 N FOWLER AVE STE 101 ,FRESNO ,CA ,3 
WILLIAM ,,68290 MODALO RD ,CATHEDRAL CITY ,CA ,2 
MODELS INC ,,214 RYAN WAY ,SOUTH SAN FRANCISCO ,CA ,4 
INC ,,450 S PORTER RD STE D ,DIXON ,CA ,5 
,,725 POLLASKY #109 ,CLOVIS ,CA ,42 
INC ,,6734 DOOLITTLE AVENUE UNIT H ,RIVERSIDE ,CA ,2 
EXCHANGE INC ,,427 BROADWAY ,EL CAJON ,CA ,2 
INC ,,1601 FREMONT CT ,ONTARIO ,CA ,779 
INCORPORATED ,,1025 A ORTEGA WAY ,PLACENTIA ,CA ,3542 
,,7093 DANYEUR RD ,REDDING ,CA ,8 
& TRENT ,,2057 GOODYEAR AVE UNIT D ,VENTURA ,CA ,4 
CHARLES ,,6750 HWY 20 ,UKIAH ,CA ,9 
PRECISION FIREARMS INC ,,2980 FALCON DR ,MADERA ,CA ,28 


