Table
,STREET ,City ,ST ,RIFLE EXP 
INC ,1 LAWTON ST ,YONKERS ,NY ,925 
,14 HOEFLER AVENUE ,ILION ,NY ,1051 
ARMS CO INC ,14 HOEFLER AVE ,ILION ,NY ,1358 
,110 8TH ST ,BROOKLYN ,NY ,3651 
RANGE INC ,7222 DALTON FOX LAKE RD ,NORTH LAWRENCE ,OH ,260 
,400 S VERMONT STE #110 ,OKLAHOMA CITY ,OK ,5 
,13313 EHLEN RD NE ,AURORA ,OR ,6 
,107 SW COLUMBIA ST ,BEND ,OR ,77 
,7070 NW NARCISSA LN BLDG B ,CROOKED RIVER RANCH ,OR ,2 
,32151 NARROW LANE ,SCAPPOOSE ,OR ,2 
,15223 STATE ROUTE 87 ,WILLIAMSPORT ,PA ,118 
,1325 SHELDON HILL ROAD ,SPRINGVILLE ,PA ,2 
,RR 2 BOX 1012 ,DINGMANS FERRY ,PA ,2 
LLC ,1310 INDUSTRY RD ,STURGIS ,SD ,33 
INC ,1301 TURBINE DR ,RAPID CITY ,SD ,318 
FIREARMS MFG INC ,5926 MILLER LANE ,MURFREESBORO ,TN ,268 
,10949 E CRYSTAL FALLS PKWY ,LEANDER ,TX ,1 
"ARMS, INC ",INDUSTRIAL BLVD MAVERICK CO DEVLPT PARK ,EAGLE PASS ,TX ,7108 
,205 METRO PARK BLVD ,ENNIS ,TX ,4 
,2090 N REDWOOD RD #40 ,SALT LAKE CITY ,UT ,90 
,270 W 500 NO ,NORTH SALT LAKE ,UT ,412 
,4133 WEST FARM RD ,WEST JORDAN ,UT ,2 
,"550 NORTH CEMETERY ROAD, BUILDING #1 ",GUNNISON ,UT ,92 
,2735 VALESTRA CIR ,OAKTON ,VA ,1 
,2697 INTERNATIONAL PARKWAY SUITE 4- ,VIRGINIA BEACH ,VA ,2 
ENTERPRISES LLC ,180 214 PRICE ST ,GRANVILLE ,WV ,3 


Table
61334276 ,KIMBER MFG 
61601854 ,"H&R 1871, LLC "
61600727 ,REMINGTON 
61134915 ,ARGUS PUBLICATIONS INC 
43437065 ,KELBLY'S RIFLE 
57302356 ,OKLAHOMA SHOOTING SPORTS INC 
99302007 ,ARMS LLC 
99301142 ,"NOSLER, INC "
99302091 ,J M WELDING LLC 
99301900 ,AA WEST INC 
82300479 ,PNEU DART INC 
82338992 ,"BORDEN, JAMES F "
82300267 ,SINGLE SHOT RIFLES INC 
34600598 ,"DAKOTA ARMS, "
34633475 ,H S PRECISION 
16236907 ,BARRETT 
57402861 ,HYPERION LEGION INTERNATIONAL LLC 
57434208 ,MAVERICK 
57503419 ,SHILEN RIFLES INC 
98734724 ,"ZDF IMPORT/EXPORT, LLC "
98700368 ,VECTOR ARMS INC 
98706281 ,LAR MANUFACTURING INC 
98734710 ,TDJ INC 
15405180 ,US TACTICAL INC 
15402925 ,"KRISS USA, INC "
45500132 ,MELVIN FORBES 


