Table
,STREET ,CITY ,ST ,RIFLE MFG 
"FIREARMS & GUN WORKS, LLC ",106 HONEYBEE CT ,LEXINGTON ,SC ,1 
RIFLES LLC ,2001 ISEMAN RD ,DARLINGTON ,SC ,5 
,NORTH ST ,SUMMERVILLE ,SC ,2343 
STATE ARMORY LLC ,3365 SOUTH MORGANS POINT RD ,MOUNT PLEASANT ,SC ,998 
"STATE ARMORY, LLC ",2121 OLD DUNBAR RD ,WEST COLUMBIA ,SC ,25221 
,SPRINGS DR ,AYNOR ,SC ,1277 
,LEESVILLE CHURCH RD ,CLINTON ,SC ,3 
JAMES ROBERT ,1713 HENRY RD ,CHESTER ,SC ,3 
,MILL HWY ,ROCK HILL ,SC ,8 
,HWY ,PAWLEYS ISLAND ,SC ,3 
,BROADWAY STREET ,COLUMBIA ,SD ,51 
INC ,1301 TURBINE DR ,RAPID CITY ,SD ,131 
,,ISABEL ,SD ,3 
,INDUSTRY RD ,STURGIS ,SD ,809 
,110TH ST ,ROSHOLT ,SD ,1 
ARMS LLC ,21593 PAHKAMAA RD ,DEADWOOD ,SD ,10 
,HIGHWAY 14 & 34 ,FORT PIERRE ,SD ,5 
FIREARMS MFG INC ,5926 MILLER LANE ,MURFREESBORO ,TN ,4749 
CORP ,1399 GATEWAY DR ,GALLATIN ,TN ,2778 
,SEMINOLE DR ,MARYVILLE ,TN ,3 
,WINGATE WAY ,LENOIR CITY ,TN ,3 
,ST ,SOUTH PITTSBURG ,TN ,11 
TOOL CO INC ,312 LAW COMMUNITY RD ,LEXINGTON ,TN ,36 
,WATER AVE SUITE A ,GALLATIN ,TN ,7 
,CHAPMAN HWY SUITE B ,KNOXVILLE ,TN ,275 
ARMS LLC ,134 UPPER JONES RD ,LENOIR CITY ,TN ,1 
FURNITURE THRIFTS & MORE LLC ,4870 OLD HIGHWAY 13 ,CUMBERLAND CITY ,TN ,23 
,CLOVERHILL LANE ,LEBANON ,TN ,4 
ARNOLD ,2400 SLAYDEN MARION RD ,SLAYDEN ,TN ,38 
,VIEW DR ,KODAK ,TN ,8 
,BROAD ST STE 2 ,TAZEWELL ,TN ,2 
LLC ,1404 HWY 231 S ,BETHPAGE ,TN ,1 
ALAN ,2004 ROBINSON RD ,KNOXVILLE ,TN ,1 


Table
15705674 ,OGBURN ,,,,
15705563 ,PALMETTO STATE ARMORY LLC ,366 E ,,5TH ,
15704905 ,PALMETTO ,,,,
15702546 ,PALMETTO ,,,,
15704597 ,PTR INDUSTRIES INC ,101 ,,COOL ,
15705175 ,SECOND AMENDMENT WEAPONRY LLC ,549 ,,,
15705717 ,"SMYRNIOS, ",,,,
15703868 ,SPORTSMAN INC ,247 ,,HANDS ,
15704483 ,TRI COUNTY SALES INC ,9881 ,,,OCEAN 
34601260 ,ALLIANCE CUSTOM ARMORY INC ,18 ,,SOUTH ,
34633475 ,H S PRECISION ,,,,
34633933 ,"MAYER, LOUIS ",422 N ,,MAIN ,
34600878 ,REMINGTON ARMS COMPANY LLC ,1310 ,,,
34601083 ,SANDO ENTERPRISES LLC ,46879 ,,,
34600644 ,SATTERLEE ,,,,
34600738 ,TETON RIVER TRADERS GUN SHOP LLC ,801 W ,,,
16236907 ,BARRETT ,,,,
16208339 ,BERETTA USA ,,,,
16208373 ,BOOMSTICK BALLISTICS LLC ,102 ,,,
16209093 ,BULLDOG FIREARMS LLC ,390 S ,,,
16206954 ,CHANDLER HARDWOODS INC ,107 E ,,2ND ,
16206145 ,CROSS MACHINE ,,,,
16205316 ,CUSTOM DEFENSE LLC ,308 ,,SOUTH ,
16207156 ,CZECHPOINT INC ,5005 ,,,
16208514 ,DAUNTLESS ,,,,
16208304 ,ENCORE ,,,,
16208337 ,"GLENN, DAVID M ",530 ,,,
16209630 ,"HANKES, BRET ",,,,
16205819 ,IN RANGE INC ,1048 ,,EAGLE ,
16204731 ,IRONWORKS MFG LLC ,1812 ,,,NORTH 


