Table
RDS KEY ,LICENSE NAME ,STREET ,CITY ,ST ,RVLR 22 ,RVLR 32 ,RVLR 357 ,RVLR 38 ,RVLR 44 ,RVLR 50 ,RVLR TOTL 
,INC ,,,,,,,,,,
58501585 ,"ROY, ROBERT ",5940-A MIDWAY PARK BLVD ,ALBUQUERQUE ,NM ,O ,0 ,7 ,3 ,1 ,4 ,15 
98804130 ,WESTSIDE ARMORY LTD ,"950 W WARM SPRINGS RD, UNIT 105 ",HENDERSON ,NV ,O ,0 ,2 ,9 ,O ,0 ,11 
98802391 ,WILD WEST GUNS LLC ,5225 WYNN ROAD ,LAS VEGAS ,NV ,O ,0 ,O ,O ,O ,8 ,8 
61604271 ,BIG ORDNANCE FIREARMS LLC ,4592 CALEDONIA RD ,LEICESTER ,NY ,O ,O ,O ,1 ,O ,O ,1 
61601079 ,CZ-USA INC ,65 BORDEN AVE ,NORWICH ,NY ,O ,O ,440 ,O ,O ,0 ,440 
61300458 ,KIMBER MFG INC ,1120 SAW MILL RIVER RD ,YONKERS ,NY ,O ,O ,O ,9609 ,O ,O ,9609 
43405654 ,"JOHNSON, TONY DALE ",2648 BLACK OAK DR ,NILES ,OH ,2 ,O ,1 ,2 ,4 ,5 ,14 
43405676 ,KCIN ARMS LLC ,2151 ATKINS AVENUE ,LAKEWOOD ,OH ,O ,O ,O ,O ,1 ,O ,1 
43104596 ,PRECISION DEFENSE LLC ,1858 CEDAR HILL RD ,LANCASTER ,OH ,O ,0 ,1 ,0 ,O ,0 ,1 
43405358 ,SHULTZ MACHINE INC ,2438 SR 83 ,MILLERSBURG ,OH ,O ,0 ,1 ,O ,0 ,0 ,1 
57306568 ,"BISHOP, RACE ",2303 N 383 B ,WETUMKA ,OK ,O ,O ,O ,1 ,O ,O ,1 
57306448 ,RED ROCK FIREARMS LLC ,6226 E LAKE HELLUMS RD ,ENID ,OK ,O ,O ,2 ,9 ,3 ,O ,14 
99303685 ,"COLFAX TACTICAL, LLC ",1611 SW FIRST ST UNIT A ,REDMOND ,OR ,O ,0 ,1 ,O ,O ,0 ,1 
99303209 ,PACIFIC TRADING GROUP LLC ,3395 48TH AVE NE ,SALEM ,OR ,40 ,0 ,20 ,26 ,6 ,1 ,93 
99304160 ,PIONEER GUN WORKS INC ,2460 HARVEST LANE ,SPRINGFIELD ,OR ,O ,O ,O ,O ,O ,2 ,2 
82307379 ,FOXHOLE FIREARMS LLC ,160 CRUM RD ,FAIRFIELD ,PA ,1 ,1 ,1 ,1 ,O ,1 ,5 
82508153 ,VERONESI GUNWORKS INC ,3258 STATE ROUTE 28 AND 66 ,NEW BETHLEHEM ,PA ,1 ,O ,O ,O ,O ,O ,1 
15706058 ,"HAWKES, JOHN CUYLER ",467 OLD CHAPIN RD ,LEXINGTON ,SC ,O ,O ,O ,1 ,O ,O ,1 
16209799 ,ECHO 3 ARMORY LLC ,214 N HORTON PKWY ,CHAPEL HILL ,TN ,O ,O ,O ,O ,O ,1 ,1 
16205125 ,RUSSELLS RELOADING LLC ,2880 CHESTNUT GLADE RD ,MARTIN ,TN ,3 ,O ,2 ,0 ,O ,0 ,5 
16209127 ,VISIONARY FABRICATION LLC ,151 MIDWAY LANE ,OAK RIDGE ,TN ,0 ,0 ,O ,2 ,0 ,1 ,3 
16206220 ,"WILLYERD, JACK E AND ERIC J ",4820 OLD HWY 48 ,CUNNINGHAM ,TN ,0 ,0 ,1 ,1 ,O ,0 ,2 
57510073 ,4W INC ,3403 SW 6TH AVE ,AMARILLO ,TX ,O ,O ,O ,O ,O ,1 ,1 
57408995 ,AMERESE INTERNATIONAL LLC ,3301 N PIEDRAS STE C AND E ,EL PASO ,TX ,1 ,O ,O ,O ,O ,O ,1 
57512497 ,"DOBBINS, RICHARD, PAULA; KALEM ",14465 S FM 1541 ,AMARILLO ,TX ,0 ,0 ,O ,1 ,0 ,0 ,1 
57510757 ,GREEN'S GUNS AND RANGE LLC ,1654 JAMES MARSHALL ,MARSHALL ,TX ,7 ,2 ,10 ,3 ,2 ,2 ,26 
57605181 ,SUPPRESSED WEAPON SYSTEMS LLC ,12703 CAPRICORN STE 900 ,STAFFORD ,TX ,O ,0 ,0 ,0 ,0 ,2 ,2 
57409332 ,SW TEXAS SECURITY LLC ,2011 E MAIN ,UVALDE ,TX ,0 ,1 ,1 ,0 ,0 ,3 ,5 
57602197 ,TAZEWELL ENTERPRISES INC ,730 SARTARTIA RD ,SUGAR LAND ,TX ,O ,O ,O ,O ,O ,1 ,1 
,THE ARMORY OF VICTORIA LLC ,3001 N NAVARRO ST ,VICTORIA ,TX ,,,,,,,


