Table
RDS KEY ,LICENSE NAME ,STREET ,CITY ,ST ,RVLR 22 ,RVLR 32 ,RVLR 357 ,RVLR 38 ,RVLR 44 ,RVLR 50 ,RVLR TOTL 
98638426 ,"REEDER, GARY NELSON ",2599 7TH AVE ,FLAGSTAFF ,AZ ,O ,O ,O ,O ,12 ,5 ,17 
98614472 ,"STURM, RUGER & COMPANY, INC ",200 RUGER RD ,PRESCOTT ,AZ ,O ,O ,O ,O ,9463 ,O ,9463 
60635936 ,CHARCO 2000 ,281 CANAL ST ,SHELTON ,CT ,1084 ,230 ,591 ,5840 ,2112 ,0 ,9857 
60633345 ,COLT'S MANUFACTURING CO LLC ,545 NEWPARK AVE ,WEST HARTFORD ,CT ,O ,174 ,161 ,158 ,152 ,2611 ,3256 
60600646 ,HARTFORD ARMORY INC ,"282 WOODMONT RD, UNIT L-40 ",MILFORD ,CT ,O ,0 ,O ,O ,0 ,2 ,2 
60600482 ,US FIREARMS MEG CO ,445-453 LEDYARD ST ,HARTFORD ,CT ,32 ,19 ,O ,513 ,268 ,1331 ,2163 
60600619 ,VALLEY TOOL & MFG INC ,22 PRINDLE HILL RD ,ORANGE ,CT ,O ,O ,O ,2 ,19 ,38 ,59 
15941170 ,HERITAGE MFG INC ,4600 NW 135TH ST ,OPA LOCKA ,FL ,32842 ,O ,466 ,O ,990 ,0 ,34298 
15840168 ,FATS INC ,7340 MCGINNIS FERRY RD ,SUWANEE ,GA ,O ,O ,2 ,O ,O ,0 ,2 
43501645 ,NEW CENTURY MANUFACTURING LLC ,755 W 300N ,GREENFIELD ,IN ,O ,O ,O ,O ,O ,1 ,1 
60401684 ,SMITH & WESSON CORP ,2100 ROOSEVELT AVE ,SPRINGFIELD ,MA ,6265 ,1238 ,52325 ,78792 ,22391 ,24067 ,185078 
34101689 ,"MAGNUM RESEARCH, INC ",12602 33RD AVENUE SW ,PILLAGER ,MN ,O ,O ,O ,O ,O ,352 ,352 
15603066 ,APPALACHIAN GUNSMITHING INC ,8 SNAPFINGER DR ,WEAVERVILLE ,NC ,6 ,1 ,O ,3 ,O ,0 ,10 
54734146 ,CYLINDER & SLIDE INC ,245 E 4TH ST ,FREMONT ,NE ,1 ,1 ,1 ,O ,O ,O ,3 
60201484 ,"STURM, RUGER & COMPANY, INC ",411 SUNAPEE ST ,NEWPORT ,NH ,13133 ,571 ,45947 ,13 ,18721 ,27445 ,105830 
61601079 ,CZ-USA INC ,5169 RT 12 S ,NORWICH ,NY ,O ,O ,5 ,O ,85 ,0 ,90 
57636550 ,"DEHART, T KEITH ",7906 BINTLIFF ,HOUSTON ,TX ,O ,1 ,O ,O ,O ,0 ,1 
98734026 ,NORTH AMERICAN ARMS INC ,2150 S 950 E ,PROVO ,UT ,31065 ,O ,O ,O ,O ,0 ,31065 
98700586 ,WHEELER TOPPING LLC ,9096 SOUTH 260 EAST ,SANDY ,UT ,O ,O ,O ,O ,6 ,0 ,6 
15401454 ,CLEMENTS CHARLES DAVID ,2766 MT ZION RD ,WOODLAWN ,VA ,0 ,O ,O ,O ,3 ,1 ,4 
15401410 ,"GREELEY, KEVIN P ",11465 CREST HILL RD ,MARSHALL ,VA ,O ,O ,1 ,O ,2 ,0 ,3 
58303091 ,FREEDOM ARMS INC ,314 HWY 239 ,FREEDOM ,WY ,24 ,7 ,63 ,O ,84 ,331 ,509 
,,,,,84452 ,2242 ,99562 ,85321 ,54308 ,56184 ,382069 


