Table
RDS KEY ,LICENSE NAME ,STREET ,CITY ,ST ,RVLR 22 ,RVLR 32 ,RVLR 357 ,RVLR 38 ,RVLR 44 ,RVLR 50 ,RVLR TOTL 
16304529 ,ROSWAL ENTERPRISES LLC ,917 VENSON STREET ,WOODVILLE ,AL ,O ,0 ,1 ,1 ,4 ,2 ,8 
98638426 ,"REEDER, GARY NELSON ",2599 7TH AVE ,FLAGSTAFF ,AZ ,O ,0 ,0 ,0 ,3 ,13 ,16 
98636542 ,"ROBAR COMPANIES, INC ",21438 N 7TH AVE SUITE B ,PHOENIX ,AZ ,O ,O ,1 ,O ,O ,O ,1 
60635936 ,CHARCO 2000 INC ,18 BREWSTER LANE ,SHELTON ,CT ,2797 ,809 ,1800 ,40575 ,4752 ,O ,50733 
60633345 ,COLT'S MANUFACTURING CO LLC ,545 NEW PARK AVE ,WEST HARTFORD ,CT ,O ,0 ,37 ,8 ,17 ,916 ,978 
60600763 ,"STURM, RUGER & COMPANY, INC ",1 LACEY PL ,SOUTHPORT ,CT ,6 ,0 ,4 ,1 ,3 ,4 ,18 
15917604 ,HERITAGE MANUFACTURING INC ,16175 NW 49TH AVE ,MIAMI ,FL ,89397 ,25 ,338 ,O ,256 ,0 ,90016 
15807676 ,"CAPT JERRY'S WEAPON WORKS, LLC ",178 HIGH POINT RD ,WOODBINE ,GA ,0 ,0 ,0 ,4 ,0 ,0 ,4 
15840168 ,MEGGITT TRAINING SYSTEMS INC ,296 BROGDON RD ,SUWANEE ,GA ,O ,O ,2 ,O ,O ,0 ,2 
54202967 ,FARRO'S LEAD FARM LLC ,417 3RD ST ,LOW MOOR ,IA ,O ,O ,1 ,1 ,O ,O ,2 
98200449 ,"ROGERS, DAVID J ",3025 LEADVILLE ,BOISE ,ID ,4 ,0 ,O ,O ,O ,O ,4 
33703832 ,"BALDWIN GUN WORKS, LLC ",17951 CAPLINGER POND RD ,MARION ,IL ,5 ,0 ,O ,3 ,O ,0 ,8 
33733384 ,OGLESBY & OGLESBY GUNMAKERS INC ,744 W ANDREW RD ,SPRINGFIELD ,IL ,0 ,O ,O ,O ,1 ,1 ,2 
43538094 ,JB CUSTOM INC ,16335 BUILDING #5 LIMA ROAD ,HUNTERTOWN ,IN ,O ,O ,O ,O ,O ,3 ,3 
54803025 ,3P HOLDINGS ,1702 SOUTH KNIGHT ,WICHITA ,KS ,O ,O ,O ,O ,7 ,O ,7 
57203148 ,"ESTES, HEATH ",419 EAGLE DR ,RACELAND ,LA ,O ,O ,O ,1 ,O ,O ,1 
60401684 ,SMITH & WESSON CORP ,2100 ROOSEVELT AVE ,SPRINGFIELD ,MA ,6421 ,259 ,41810 ,124091 ,13314 ,39882 ,225777 
85202358 ,LWRC INTERNATIONAL LLC ,815 CHESAPEAKE DRIVE ,CAMBRIDGE ,MD ,O ,0 ,O ,0 ,0 ,1 ,1 
34103314 ,MAGNUM RESEARCH INC ,12602 33RD AVE SW ,PILLAGER ,MN ,0 ,130 ,O ,O ,42 ,1050 ,1222 
60201484 ,"STURM, RUGER & COMPANY, INC ",411 SUNAPEE ST ,NEWPORT ,NH ,249 ,5 ,457 ,127 ,198 ,84 ,1120 
60200735 ,"STURM, RUGER & COMPANY, INC ",529 SUNAPEE ST ,NEWPORT ,NH ,69886 ,676 ,103482 ,72969 ,27675 ,19835 ,294523 
60201645 ,"ZUK, ERIC A ",1417 DANIEL WEBSTER HWY ,WOODSTOCK ,NH ,0 ,0 ,0 ,0 ,0 ,1 ,1 
61601079 ,CZ-USA INC ,65 BORDEN AVE ,NORWICH ,NY ,O ,0 ,3 ,O ,1 ,0 ,4 
61601135 ,TURNBULL MANUFACTURING COMPANY ,6680 RT 5-20 ,BLOOMFIELD ,NY ,O ,0 ,O ,0 ,10 ,18 ,28 
43101810 ,CHIAPPA FIREARMS LTD ,1415 STANLEY AVE ,DAYTON ,OH ,1340 ,O ,1726 ,O ,90 ,O ,3156 
57302390 ,CUTTING EDGE ARMS LLC ,6840 NW 11TH STREET ,OKLAHOMA CITY ,OK ,0 ,O ,1 ,O ,O ,O ,1 
57302525 ,TEDS CUSTOM SHOP LLC ,117 BLUE STEM ,WEATHERFORD ,OK ,0 ,0 ,O ,1 ,O ,0 ,1 
82504733 ,MICRO MIGHT INC ,317 SAMPSON ST ,NEW CASTLE ,PA ,106 ,0 ,O ,O ,0 ,0 ,106 
60500598 ,BEL AIR FINISHING SUPPLY ,101 CIRCUIT DR ,NORTH ,RI ,O ,O ,1 ,O ,O ,O ,1 


