Table
,,,,,STREET ,CITY ,ST ,RIFLE MFG
,,,,,,,TX ,5
,,,,,2544 COOLWATER DR ,PLANO ,TX ,2
,,,,,,,TX ,333
,,,,,1191 EAST EDENBROOK DRIVE ,SANDY ,UT ,1
,,,,,5773 SOUTH 2150 WEST ,ROY ,UT ,20
,,,,,,CITY ,UT ,551
,,,,,4175 SOUTH 4300 WEST ,WEST HAVEN ,UT ,16
,,,,,98 WEST 300 SOUTH - UNIT #25 ,MILLVILLE ,UT ,8
INC ,,,,,4133 WEST FARM RD ,WEST JORDAN ,UT ,218
,,,,,,,UT ,5
,,,,,270 W 500 NO ,NORTH SALT LAKE ,UT ,1893
,,,,,,CITY ,UT ,12
,,,,,,,VA ,125
,,,,,,,VA ,3
RESOURCES CORP ,,,,,7200-G FULLERTON RD ,SPRINGFIELD ,VA ,16
,,,,,2394 DOUBLE CHURCH RD ,STEPHENS CITY ,VA ,2
,,,,,,,VA ,9
,,,,,,,VA ,1
,,,,,86 WEST STREET ROAD ,FAIRFIELD ,VT ,2
,,,,,,,VT ,2657
,,,,,,,VT ,4
,,,,,2338 HOLGATE ST S ,TACOMA ,WA ,859
INC ,,,,,16552 121 AVE SE ,RENTON ,WA ,19
,,,,,9368 ROAD 10 NE ,MOSES LAKE ,WA ,6
,,,,,,,WA ,93
ANNE ,,,,,75B ABBOTT RD ,ELMA ,WA ,72
,,,,,,,WA ,1
,,,,,,,WA ,8227
,,,,,,,WA ,166
,,,,,2614 NE 176 AVE ,VANCOUVER ,WA ,1
,,,,,,,WA ,4
,,,,,,,WA ,1
LLC ,,,,,46018 DETOUR RD E BLDG B ,DAVENPORT ,WA ,10


Table
57600942 ,,WOODVILLE
57501803 ,,,
57502590 ,WISE LITE ARMS INC ,903 S ALLEN ,BOYD
98700523 ,858 ENGINEERING INC ,,
98700652 ,,,
98787363 ,ARMS TECHNOLOGY INC ,2779 DIRECTORS ROW ,SALT LAKE
98700716 ,,,
98700554 ,,,
98706281 ,LAR MANUFACTURING ,,
98700383 ,,1972 W 2550 S SUITE A ,WEST HAVEN
98700368 ,VECTOR ARMS INC ,,
98734724 ,,2090 N REDWOOD RD #40 ,SALT LAKE
15400704 ,ALEXANDER ARMS LLC ,RT 114 ,RADFORD
15402723 ,,31 EAST JUBAL EARLY DR ,WINCHESTER
15402553 ,LAND WARFARE ,,
15402649 ,,,
15440269 ,,3008 TYRE NECK RD ,PORTSMOUTH
15402741 ,UNITED ARMAMENT LLC ,425 SOUTHLAKE BLVD SUITE 3B ,RICHMOND
60300182 ,,,
60333217 ,CENTURY ARMS INC ,236 BRYCE BLVD ,GEORGIA
60300038 ,FOSTER INDUSTRIES INC ,75 CAL FOSTER DR ,WOLCOTT
99101098 ,AERO PRECISION INC ,,
99101775 ,BLACKWELL INDUSTRIES ,,
99100409 ,,,
99101536 ,GREENLIGHT ARMS INC ,4659 SE MULLENIX RD ,PORT ORCHARD
99137453 ,,,
99101627 ,K & S INVESTMENTS LLC ,675 NW GILMAN BLVD ,ISSAQUAH
99114520 ,0LYMPIC ARMS INC ,624 OLD PACIFIC HWY SE ,0LYMPIA
99100986 ,SNS INDUSTRIES INC ,10304 A 99TH AVE SE ,SNOHOMISH
99101815 ,,,
99100854 ,TOTAL SILENCE INC ,740 NEWPORT WAY NW ,ISSAQUAH
99100572 ,,3380 REEVES RD ,SUNNYSIDE
99101871 ,WAFFENFABRIK HEIN ,,


