Table
,,STREET ,CITY ,ST ,RIFLE MFG 
,,,LONDON ,WI ,5 
MICHAEL ,,3601 129TH ST ,CHIPPEWA FALLS ,WI ,37 
,,,,WI ,7 
,,,,WI ,181 
,,,,WI ,1 
ENTERPRISES LLC ,,1501 W MAPLE ST ,RIVER FALLS ,WI ,1 
LLC ,,N3341 EBERT ROAD ,NEW LONDON ,WI ,29 
,,,,WI ,1 
,,385 VINCENT ST ,MILTON ,WI ,2 
,,,,WI ,3 
,,,CLAIRE ,WI ,24 
,,,VALLEY ,WI ,13 
,,,,WI ,1 
LLC ,,5011 45TH STREET ,KENOSHA ,WI ,10 
LLC ,,W185 N11521 WHITNEY DR ,GERMANTOWN ,WI ,99 
SYSTEMS LLC ,,W9076 HWY A ,DELAVAN ,WI ,1 
,,,,WI ,7 
,,,,WI ,2 
LLC ,,2563 RITTER DR ,SHADY SPRING ,WV ,9 
,,,,WV ,47 
A ,,74 DUPONT RD SUITE A ,MARTINSBURG ,WV ,31 
,,,,WV ,101 
LLC ,,504 EVERETT GILLS LN ,GALLIPOLIS FERRY ,WV ,1 
,,,,WV ,46 
,,,,WV ,3 
,,,,WV ,1 
SHOP LLC ,,5649 GEORGETOWN RD ,HORNER ,WV ,3 
,,,KEARNEYSVILLE ,WV ,25 
,,28356 CHARLESTON RD ,LEON ,WV ,2 
SERVICES LLC ,,21150 BARBOUR COUNTY HWY ,PHILIPPI ,WV ,4 
,,,SUMMERSVILLE ,WV ,5 
WEST PRODUCTIONS LLC ,,115 W YELLOWSTONE AVE ,CODY ,WY ,382 


Table
33904776 ,KUSTOM ARMS LLC ,1408 SOUTHRIDGE DR ,,NEW ,
33900697 ,"LAUER, STEVEN ",,,,
33903873 ,LONG RANGE RIFLES LLC ,601 SOUTH MAIN STREET ,,,OSHKOSH 
33904930 ,MIDWEST INDUSTRIES INC ,W292 S4498 HILLSIDE RD ,,,WAUKESHA 
33908680 ,MILWAUKEE GUNSMITH LLC ,4475 N 124TH ST UNIT G ,,,BROOKFIELD 
33905564 ,MINUTE OF ANGLE ,,,,
33909285 ,MUKWA TACTICAL ,,,,
33907592 ,ONETIME UNLIMITED LLC ,W4953 GRITTNER ST ,,,WESTBORO 
33908862 ,OX FIREARMS LLC ,,,,
33905869 ,PEEPS & JAWA LLC ,100 E HAVEN DR ,,,WATERTOWN 
33904639 ,SCOTSMAN ARMS LLC ,320 PUTNAM STREET SUITE 7 ,,EAU ,
33908833 ,"STAPLES, DILLON TATE ",W5252 US HWY 63 ,,,SPRING 
33906873 ,THE GUN GARAGE LLC ,61729 WEISTER RD ,,,ASHLAND 
33906714 ,THE GUN SHOP ,,,,
33908887 ,THUREON HOLDINGS ,,,,
33907761 ,TRIPWIRE WEAPON ,,,,
33908067 ,WISCONSIN GUNS LLC ,226 S WALES RD ,,,WALES 
33907594 ,WORKS ARMAMENT LLC ,1 TAUNTON CIRCLE ,,,MADISON 
45503901 ,FOLEY DEFENSE ,,,,
45503183 ,HARPERS FERRY ARMORY INC ,301 N MILDRED ST ,,,RANSON 
45502891 ,"HOSTETTER, MARK ",,,,
45502547 ,J W MANUFACTURING LLC ,703 MIDDLETOWN RD ,,,FAIRMONT 
45502304 ,KNT ENTERPRISES ,,,,
45500132 ,MELVIN FORBES ENTERPRISES LLC ,438 MIRANOV ST ,,,GRANVILLE 
45503778 ,"MONROE, PAUL JAMES ",7304 SISSONVILLE DR ,,,SISSONVILLE 
45503799 ,RK INDUSTRIES LLC ,283 SENECA HILLS ESTS ,,,MORGANTOWN 
45502685 ,THE CUSTOM GUN ,,,,
45503409 ,TWO RIVERS ARMORY LLC ,43 RULAND RD STE A ,,,
45503745 ,"UPTON, JASON D ",,,,
45502860 ,VIGILANT SECURITY ,,,,
45501641 ,VINTEC MANUFACTURING LLC ,44 BERKELY DR ,,,
58301081 ,BEST OF THE ,,,,
58300734 ,BIG HORN ARMORY INC ,774 ROAD 2AB ,,,CODY 


