Table
,,,STREET ,CITY ,ST ,RIFLE MFG
,,,22353A DOC MCDUFFIE RD ,FOLEY ,AL ,32
,,,53911 CR 21 ,STOCKTON ,AL ,5
,,,1524 HENRY DAVIS ROAD ,DELTA ,AL ,4
,,,5330 STADIUM TRACE PKWY SUITE 240 ,HOOVER ,AL ,10
ALVIN ,,,642 PINE RD ,PELL CITY ,AL ,2
,,,365 COUNTY ROAD 122 ,FLORENCE ,AL ,5
,,,405 COUNTY ROAD 52 ,JEMISON ,AL ,1
,,,1816 REMINGTON CIRCLE SW ,HUNTSVILLE ,AL ,2015
E ,,,23 FOREST MEADOW BLVD ,HUNTSVILLE ,AL ,1
,,,2530 MORGAN ROAD ,BESSEMER ,AL ,1219
,,,16707 HWY 13 S ,HUMNOKE ,AR ,10
LLC ,,,871 E ROBINSON AVE ,SPRINGDALE ,AR ,1
,,,1223 HWY 412 W ,SILOAM SPRINGS ,AR ,30
,,,121 RIVERSIDE PARK RD ,SEARCY ,AR ,5
,,,108 KACY DR ,SEARCY ,AR ,3
,,,8041 HAPPY VALLEY DR ,CHESTER ,AR ,6
,,,404 N DUDNEY ST ,MAGNOLIA ,AR ,1
,,,614 CANTERBURY DR ,ALMA ,AR ,2
,,,103 SW WINSTED LN STE 29 ,BENTONVILLE ,AR ,118
,,,360 SILZELL DR ,MOUNTAIN HOME ,AR ,1
,,,5730 N 6TH ST ,FORT SMITH ,AR ,2205
,,,9 FOX CHAPEL CT ,LITTLE ROCK ,AR ,2
,,,10266 ROCK ISLAND ,DARDANELLE ,AR ,25
AND HYDROGRAPHICS ,,,25174 HWY 71 N ,MANSFIELD ,AR ,8
,,,56 FINE WAY ,ALMA ,AR ,23
,,,17900 AUSTIN LN ,LITTLE ROCK ,AR ,8
LLLP ,,,2335 HWY 63 N ,STUTTGART ,AR ,12
,,,25914 HWY 10 STE B ,ROLAND ,AR ,2
,,,6471 MC 4018 ,YELLVILLE ,AR ,4
GUNS & AMMO LLC ,,,3416 N THOMPSON ,SPRINGDALE ,AR ,39
,,,404 N ARKANSAS AVE ,RUSSELLVILLE ,AR ,18
A JR ,,,4942 SPEER ST ,FORT SMITH ,AR ,4


Table
16306976 ,"MCMILLAN, ROBERT MALCOLM JR "
16304700 ,MHT DEFENSE LLC
16306823 ,MM VENTURES LLC
16306445 ,"MULKEY, JAMES "
16307157 ,NH FIREARMS LLC
16302100 ,PENCOEVILLE LLC
16305652 ,REMINGTON ARMS COMPANY LLC
16306613 ,"RIGSBEE, THOMAS "
16303984 ,"STEYR ARMS, INC. "
57105524 ,4 B PRECISION RIFLES LLC
57105157 ,ARKY ARMAMENT
57102051 ,"BLANKENSHIP, SCOTTY L "
57105448 ,"BOHANNON, BRET AND GILLEY, MARVIN "
57103134 ,BRYAN DOAN LLC
57104490 ,"CLUCK, BILLY "
57104828 ,"COBB, ROBERT ALLEN "
57105225 ,CONNER FAMILY ENTERPRISES LLC
57105201 ,DSKTB GROUP LLC
57104824 ,"EVANS, JIMMY M "
57104512 ,FEDERAL ARMAMENT LLC
57105333 ,FIREARMS 4 LESS LLC
57105032 ,"HOLT, KENNETH CHASE "
57105502 ,J & J GUNSMITHING
57105258 ,JED'S SPORTING GOODS LLC
57105246 ,"LEWIS, ROBERT TODD "
57105396 ,MACK'S SPORT SHOP
57104858 ,0UACHITA ARMS LLC
57100526 ,"OZARK PRECISION RIFLES, LLC "
57105269 ,PATRIOT ARMS ONE
57104282 ,PINEY CREEK ENTERPRISE LTD CO
,


