Table
STREET ,CITY ,ST ,RIFLE MFG
,SACRAMENTO ,CA ,2
1250 TIERRA REJADA RD ,SIMI VALLEY ,CA ,4
,PHELAN ,CA ,1
10020 PROSPECT AVE STE A08 ,SANTEE ,CA ,1
,EL CAJON ,CA ,193
RD ,VALLEJO ,CA ,17
BLVD ,THOUSAND OAKS ,CA ,9
,PASO ROBLES ,CA ,28582
,RIVERBANK ,CA ,23
130 EASY STREET UNIT 3 ,PASO ROBLES ,CA ,4
ST ,WELLINGTON ,CO ,57
,AURORA ,CO ,17
,AURORA ,CO ,5
,GOLDEN ,CO ,7
,LAKEWOOD ,CO ,4
,FORT COLLINS ,CO ,1
,CONIFER ,CO ,1
1202 GROVE ST ,DENVER ,CO ,1
6985 ROARING SPRINGS LN ,FOUNTAIN ,CO ,9
19499 EAST BROWN DR ,AURORA ,CO ,5
CIRCLE ,HIGHLANDS RANCH ,CO ,1
1600 RAPID CT ,BERTHOUD ,CO ,3
1010 SOUTH LINCOLN AVE ,LOVELAND ,CO ,1
,WHEAT RIDGE ,CO ,20
,INDIAN HILLS ,CO ,1
STE 100 ,LITTLETON ,CO ,1
45820 EAST 56TH AVE ,BENNETT ,CO ,1
11675 DALEY CIRCLE ,PARKER ,CO ,5
,ERIE ,CO ,1
DR ,COLORADO SPRINGS ,CO ,6
,CORTEZ ,CO ,10
24005 HWY 13 ,MEEKER ,CO ,3


Table
96803845 ,SPENCER COMPOSITES CORPORATION ,4550 PELL DRIVE
97703060 ,TARAN TACTICAL INNOVATIONS LLC ,
93306842 ,"THOMPSON, BRADLEY ALAN ",10125 NEVADA RD
93305119 ,"TOWLE, INC ",
93304987 ,TPM ARMS LLC ,246 DENNY WAY
96804826 ,TRIPLE A'S SPORTING GOODS LLC ,1722 & 1724 SPRINGS
97702945 ,"VON COLLN, JOHN ",3166 E THOUSAND OAKS
97737552 ,WEATHERBY INC ,1605 COMMERCE WAY
97702995 ,"YATES, LYNDON ",3332 SANTA FE STREET
97702763 ,ZAK GLOBAL ENTERPRISES LLC ,
58407395 ,300 ARMS INC ,7074 MOUNT NIMBUS
58406178 ,A-TAC GEAR GUNS UNIFORMS LLC ,19810 E 59TH PL
58407691 ,ACU TEC CNC INC ,559 AIRPORT BLVD F1
58400906 ,ANDY'S CUSTOM GUNS INC ,14855 W 54TH AVE
58407902 ,ARTIFICER LLC ,11845 W 17TH AVE
58405237 ,BALLISTIC RESOURCES LLC ,124 N US HIGHWAY 287
58407617 ,BLACK MOUNTAIN GUNSMITHING LLC ,9215 SANDY LANE
58406551 ,BLUE DIAMOND INDUSTRIES INC ,
58404006 ,C&M SHOOTING SUPPLIES LLC ,
58407061 ,"CASSARA, ROBERT ",
58407818 ,CENTROID ARMS AND ENGINEERING LLC ,10578 TRACEWOOD
58401710 ,"COOK, GERALD M ",
58405127 ,CROSSTAC CORPORATION ,
58406011 ,CUSTOM MECHANICAL SOLUTIONS LLC ,4880 ROBB ST UNIT 12
58406475 ,DD MACHINING LLC ,22929 NAMPEYO RD
58407482 ,DEV-LOCK SYSTEMS INC ,8022 SOUTHPARK CR
58404032 ,"DORN, RICK A ",
58408515 ,DYK RIFLE AND MACHINE LLC ,
58405354 ,FAMILY FIRST FIREARMS LLC ,21 STEWART WAY
58407693 ,GFC USA LLC ,7185 GARDENSTONE
58404833 ,"GRAY, HAROLD F ",6590 RD 21
58403287 ,GRE-TAN RIFLES LLC ,
58401680 ,HERITAGE ARMS INC ,1631 P ROAD


