Table
,STREET ,CITY ,ST ,RIFLE MFG 
,NICHOLAS SQUARE ,NEW MILFORD ,CT ,2 
ARMS LLC ,35 WASHINGTON ST ,TRUMBULL ,CT ,2 
& SONS INC ,7 GRASSO AVE ,NORTH HAVEN ,CT ,5601 
,63 NORTH CHERRY STREET ,WALLINGFORD ,CT ,1375 
ANTHONY ,7 TYRRELL DRIVE ,WOLCOTT ,CT ,1 
,515 JOHN DOWNEY DR ,NEW BRITAIN ,CT ,13735 
,100 BURRITT STREET ,NEW BRITAIN ,CT ,197 
,LACEY PL ,SOUTHPORT ,CT ,48 
,22957 DEEP BRANCH RD ,GEORGETOWN ,DE ,46 
,1250 OLD DIXIE HWY #5 ,LAKE PARK ,FL ,3 
,451 N FERDON BLVD ,CRESTVIEW ,FL ,28 
OF HIGHLANDS INC ,3001 LAKEVIEW DRIVE ,SEBRING ,FL ,1 
,1551 GUNN HIGHWAY ,ODESSA ,FL ,2095 
WEAPONS & FIREARMS LLC ,1508 INDUSTRIAL DR ,NEW SMYRNA BEACH ,FL ,5 
,3112-1 PALM AVENUE ,FORT MYERS ,FL ,4 
,203 SW 125TH AVENUE ,PLANTATION ,FL ,12 
FINISHING CORPORATION ,7594 CHANCELLOR DRIVE ,ORLANDO ,FL ,50 
,4920 LENA RD UNIT 102 & 103 ,BRADENTON ,FL ,9 
,1556 S STATE ROAD 53 ,MADISON ,FL ,99 
,203 NW 3RD AVE ,HALLANDALE ,FL ,88 
,160 WEST EVERGREEN TERRACE SUITE 180 ,LONGWOOD ,FL ,3 
,295 NORTH DRIVE SUITE H ,MELBOURNE ,FL ,180 
FIREARMS LLC ,25430 NW 8TH LN STE 100 ,NEWBERRY ,FL ,1 
ADVANTAGE LLC ,2516 JMT INDUSTRIAL DR UNITS 106-110 ,APOPKA ,FL ,12 
,602 NW 75TH STREET SUITE D ,GAINESVILLE ,FL ,2 
,369 BLANDING BLVD SUITE N12 ,ORANGE PARK ,FL ,22 
,"5151 SUNBEAM ROAD SUITE 9,10,11 ",JACKSONVILLE ,FL ,2 
,5762 NW CONE ST ,PORT SAINT LUCIE ,FL ,14 
,12924 128TH AVE ,LARGO ,FL ,4 
,7305-7307 NW 46TH ST ,MIAMI ,FL ,6 
E ,23312 NW LAMONT RD ,FOUNTAIN ,FL ,3 
,1201 HAMLET AVE ,CLEARWATER ,FL ,6 


Table
60603454 ,"DJS FIREARMS, LLC 4 "
60602610 ,MINUTEMEN 
60600773 ,O F MOSSBERG 
60603042 ,PAUWAY CORP 
60602777 ,"SAVOIR, EDWARD "
60603511 ,STAG ARMS LLC 
60602196 ,STANDARD MANUFACTURING CO LLC 
60600763 ,"STURM, RUGER & COMPANY, INC 1 "
85100968 ,GUNSHOOTER ENTERPRISES LLC 
15931360 ,411 TACTICAL INC 
15932944 ,AA TACTICAL INC 
15949978 ,AAL HOLDINGS 
15918134 ,ADAMS ARMS LLC 
15917575 ,ADVANCED 
15901343 ,AK-USA MANUFACTURING INC 
15948877 ,AMERICAN HANDHELD WEAPONRY INC 
15908565 ,AMERICAN METAL 
15905746 ,"AMERICAN VINTAGE GUN AND PAWN, INC "
15909126 ,AMMO DUMP INTERNATIONAL LLC 
15915415 ,AQUILA ARMS LLC 
15951134 ,AR'S BY DESIGN LLC 
15907991 ,ARES DEFENSE SYSTEMS INC 
15930118 ,ARTICLE II 
15932857 ,BALLISTIC 
15950778 ,BIG DADDY GUNS INC 
15949547 ,BLACK CREEK CUSTOM FIREARMS LLC 
15931644 ,BLACK CREEK PRECISION LLC 
15916829 ,BLACKHAWK CUSTOM LLC 
15949912 ,BLACKOUT ARMS LLC 
15949231 ,BRIGADE MANUFACTURING INC 
15950123 ,"BRYANT, JASON "
15948882 ,BUIS INC 
15931741 ,"BUNKER, BRANDAN "


