Table
,STREET ,CITY ,ST ,RIFLE MFG 
INC ,750 HAROLD AVE ,WINTER PARK ,FL ,4 
,4711 KEY DEER TERR ,PARRISH ,FL ,6 
,5418 WEST CRENSHAW ST ,TAMPA ,FL ,67 
ORDNANCE LLC ,724 PATRICK INDUSTRIAL LN STE 100 ,WINDER ,GA ,34 
,4884 CLOUD SPRINGS RD ,RINGGOLD ,GA ,6 
,2408 TECH CENTER PARKWAY BUILDING H SUITE 150 ,LAWRENCEVILLE ,GA ,3231 
,55 LYLE FIELD ROAD ,JEFFERSON ,GA ,41 
,1720 GOLDMINE RD ,DAWSONVILLE ,GA ,3 
,130 NORTH MAIN ST ,CORNELIA ,GA ,6 
COMPANY LLC ,1685 BOGGS ROAD SUITE 300 ,DULUTH ,GA ,40 
,188 PICKLE SIMON RD ,WINDER ,GA ,7 
,1711 MOURNING DOVE LN ,COBBTOWN ,GA ,3 
,3467 COLLEGE ST ,COLLEGE PARK ,GA ,3 
,178 HIGH POINT RD ,WOODBINE ,GA ,5 
FIREARMS LLC ,6936 OLD WHELCHEL RD ,DAHLONEGA ,GA ,42 
,110 EAGLE RD ,NASHVILLE ,GA ,34 
ISSAC III ,240 PINEWOOD DR ,ROCK SPRING ,GA ,7 
,4236 NEWTON RD SOUTH ,MILLEN ,GA ,35 
,783 CAUDELL RD ,HOMER ,GA ,19 
INC ,101 WARFIGHTER WAY ,BLACK CREEK ,GA ,169 
,268 CADILLAC PKWY STE 104 ,DALLAS ,GA ,118 
STEVENS ,439 RIVERBEND DR ,MACON ,GA ,53 
,403 CHESTNUT STREET ,SPRINGFIELD ,GA ,1 
,4904 HWY 98 ,COMER ,GA ,985 
ENTERPRISES LLC ,2880 BROWNE CIR ,CUMMING ,GA ,8 
,6116 HWY 515 NORTH STE D ,ELLIJAY ,GA ,21 
TIMOTHY ,627 FREEMAN CREEK ROAD ,EASTANOLLEE ,GA ,9 
,333 BUTLER INDUSTRIAL DRIVE ,DALLAS ,GA ,256 
"ARMS, LLC ",250 KELLER RD ,ROSSVILLE ,GA ,8 
,1486 CHERRY RD ,FRANKLIN ,GA ,7 
,4325 SETTINGDOWN CIR STE 103 ,CUMMING ,GA ,1 
,1205 WASHINGTON STREET ,JEFFERSON ,GA ,20 
,,,,


Table
15911760 ,WRP ENTERPRISES 
15913795 ,X RING ACCURACY & DESIGN INC 
15910088 ,ZEL CUSTOM MANUFACTURING LLC 
15807146 ,ACCURATE 
15804769 ,ACRW LLC 
15806236 ,ADVANCED ARMAMENT CORP LLC 
15805214 ,"AMERICAN PRECISION ARMS, LLC "
15809523 ,APPALACHIAN ARMORY INC 
15805926 ,BLACK FOREST GUNWURKS LLC 
15802643 ,BP FIREARMS 
15809882 ,BRP CORP 
15810955 ,CADS HOME IMPROVEMENT INC 
15808613 ,CAMP CREEK GUNWORKS LLC 
15807676 ,"CAPT JERRY'S WEAPON WORKS, LLC "
15808264 ,CHESTATEE 
15807415 ,CHEYTAC USA LLC 
15806316 ,"CHRISTIAN, JAMES "
15806154 ,COLLIER RIFLES LLC 
15808273 ,COUNTRY BOY ENTERPRISES INC 
15800675 ,DANIEL DEFENSE 
15806454 ,DEFENSE RESEARCH & DEVELOPMENT LLC 
15804577 ,"DULONG, RONALD "
15807743 ,DUMAS MARKETING INC 
15805433 ,ENGINEERING & CYCLE CO INC 
15807993 ,GRAYSKWEREL 
15807319 ,"GUN PRO SHOPS LLC, THE "
15810421 ,"HARRIS, STEPHEN "
15805973 ,HEAD DOWN PRODUCTS LLC 
15800115 ,HERITAGE CUSTOM 
15801270 ,HISTORIC ARMS LLC 
15809856 ,INSERT MOLDING SOLUTIONS INC 
15807443 ,"INTEGRITY ARMS & SURVIVAL, LLC "
,


