Table
,,,STREET ,CITY ,ST ,RIFLE MFG 
LLC ,,,737-2C WERNE DR ,LEXINGTON ,KY ,47 
,,,1200 ONEAL RD ,LONDON ,KY ,5 
LLC ,,,2846B BEDFORD RD ,JEFFERSONVILLE ,KY ,13 
,,,1040 OLD BARREN RIVER RD ,BOWLING GREEN ,KY ,1 
,,,730 SALLIE DR ,ASHLAND ,KY ,35 
SYSTEMS LLC ,,,14177 HERRING MILL RD ,HOPKINSVILLE ,KY ,29 
COMPANY LLC ,,,22 RIFLE TRAIL ,HICKORY ,KY ,314875 
,,,104 WHITESBURG PLAZA ,WHITESBURG ,KY ,2 
,,,3641 MILLS RD ,COVINGTON ,KY ,1 
,,,270 EVANS AVE ,MOUNT STERLING ,KY ,22 
,,,1743 ANDERSON BLVD ,HEBRON ,KY ,176231 
,,,17553 M GUITREAU LN STE B ,LIVINGSTON ,LA ,2 
,,,119 ABIGAYLE ROW ,SCOTT ,LA ,12 
,,,9683 MAMMOTH AVE ,BATON ROUGE ,LA ,2 
,,,53481 WEST FONTANA ROAD ,INDEPENDENCE ,LA ,12 
,,,486 FRENCH FORK RD ,JONESVILLE ,LA ,1 
COLIN M ,,,7600 FERN AVE BLDG 1200 ,SHREVEPORT ,LA ,13 
,,,8048 ONE CALAIS AVE SUITE E ,BATON ROUGE ,LA ,5 
SOLUTIONS LLC ,,,1405 FRANK ANDREWS BLVD STE B ,ALEXANDRIA ,LA ,3 
,,,240 HWY 171 BYPASS ,MANY ,LA ,3 
,,,8173 S LAKESHORE DRIVE ,SHREVEPORT ,LA ,8 
,,,9683 MAMMOTH AVE ,BATON ROUGE ,LA ,82 
,,,1500 NEW NATCHITOCHES RD ,WEST MONROE ,LA ,3 
LLC ,,,1785 WALKER RD ,SULPHUR ,LA ,4 
,,,145 BARNSTABLE RD ,HYANNIS ,MA ,12 
,,,WATSON PLACE BLD 3A ,FRAMINGHAM ,MA ,1 
,,,627 HIGH STREET RTE 110 ,CLINTON ,MA ,14 
,,,31A CHESTNUT ST ,NORTH ATTLEBORO ,MA ,13 
,,,5 WHALLEY WAY ,SOUTHWICK ,MA ,11 
,,,155 NEW BOSTON ST STE 180U ,WOBURN ,MA ,7 
,,,130 GODDARD MEMORIAL DR ,WORCESTER ,MA ,7041 
,,,100 SPRINGDALE RD ,WESTFIELD ,MA ,305826 


Table
46133576 ,"LANDEN, RANDAL S "
46104635 ,MERIDIAN ORDNANCE 
46103814 ,METALS N MORE INC 
46105790 ,MVM ENTERPRISES LLC 
46105298 ,PERSONAL DEFENSE 
46101973 ,REMINGTON ARMS 
46103273 ,"STIDHAM, WILLIAM WESLEY JR "
46103574 ,"SUNDAY FARMS, LLC "
46105000 ,"WALTERS, BRUCE "
46103520 ,WM C ANDERSON INC 
57204205 ,444 DYNAMICS LLC 
57204699 ,ACADIANA GUNWORKS LLC 
57204834 ,AKLYS DEFENSE LLC 
57204036 ,BLADES & BARRELS LLC 
57203050 ,CATAHOULA CUSTOM GUN WORKS LLC 
57203147 ,"EVANS, DAVID W AND "
57204545 ,FDL GROUP LLC 
57204729 ,KMW LONG RANGE 
57202699 ,"LEE, ROBERT KENT & VOORHEIS, KIRT ROSS "
57203852 ,MW PRODUCTIONS LLC 
57203043 ,RED JACKET FIREARMS LLC 
57204339 ,SPEC OPS DEFENSE SYSTEMS LLC 
57204405 ,US PRECISION RIFLES 
60411686 ,DOWNRANGE INC 
60406097 ,ELITE FIREARMS CORP (NV) 1 
60407439 ,IMAGING DATA CORPORATION 
60411709 ,"KING, STEVEN M "
60402759 ,NITOR CORP 
60411576 ,PRECISION POINT FIREARMS LLC 
60435456 ,"SAEILO, INC "


