Table
RDS KEY ,LICENSE NAME ,STREET ,CITY ,ST ,RIFLE MFG 
98101969 ,MOUNTAIN TACTICAL COMPANY ,174 SHEPHERD TRAIL UNIT B ,BOZEMAN ,MT ,7 
98101595 ,NEMO ARMS INC ,3582 HWY 93 S ,KALISPELL ,MT ,1023 
98101706 ,NOREEN FIREARMS LLC ,131 JETWAY DRIVE ,BELGRADE ,MT ,548 
98101902 ,PLOYHAR PRECISION INC ,33659 RAGHORN RD STE B ,POTOMAC ,MT ,3 
98133799 ,POWDER RIVER RIFLE CO INC ,201 CENTENNIAL DR ,BIG TIMBER ,MT ,337 
98101499 ,PROOF RESEARCH INC ,10 WESTERN VILLAGE LANE ,COLUMBIA FALLS ,MT ,41 
98135405 ,"PURSLEY, AARON & OTTO, RONALD ROBERT ",159 2ND AVE ,BIG SANDY ,MT ,5 
98101963 ,SAGE FLATS SHOOTER LLC ,338 HENDERSON AVE ,JORDAN ,MT ,7 
98102015 ,SARGE'S GUN WORKS LLC ,415 1ST AVE STE A ,GILDFORD ,MT ,7 
98101163 ,SI DEFENSE INC ,2902 HIGHWAY 93 N ,KALISPELL ,MT ,43 
98102022 ,WEBER CUSTOMS INC ,43 HAWTHORN AVE ,KALISPELL ,MT ,6 
15606019 ,"ACOSTA, MIGUEL ANGEL ",937 POPLAR FOREST LN ,PITTSBORO ,NC ,2 
15605915 ,ALPHATECH INC ,388 CANE CREEK RD ,FLETCHER ,NC ,11 
15607736 ,AMENDMENT ARMS INC ,309 SCENIC RIDGE DR ,DANA ,NC ,62 
15608525 ,ANSON TACTICAL ARMS LLC ,2975 WHITE STORE RD ,WADESBORO ,NC ,7 
15609766 ,APPALACHIAN ARMS INCORPORATED ,48 WALDORF PLACE ,BRASSTOWN ,NC ,10 
15605319 ,AQUILLA CUSTOM GUN WORKS LLC ,6104 AQUILLA CREEK RD ,EAST BEND ,NC ,1 
15608474 ,B SEARCY LLC ,412 AMBER DAWN LN ,RALEIGH ,NC ,2 
15604383 ,BAITY'S CUSTOM GUNWORKS ,2623 BOONE TRAIL ,NORTH WILKESBORO ,NC ,39 
15609861 ,BAKER BUILT ARMS LLC ,17011 NC HWY 88 W ,CRESTON ,NC ,1 
15604638 ,BARNES PRECISION MACHINE INC ,1434 FARRINGTON RD ,APEX ,NC ,891 
15606622 ,BEAR CREEK ARSENAL LLC ,310 MCNEILL RD ,SANFORD ,NC ,3233 
15609106 ,"BROWN, ROBBY LANE ",469 GEORGE DUNN SHOLAR RD ,WALLACE ,NC ,4 
15603064 ,"BUNN, JAMES ANTHONY ",4167 BLACK CREEK RD ,WILSON ,NC ,1 
15608012 ,CAROLINA BULLETS LLC ,423 EAST SHERATON PARK RD ,PLEASANT GARDEN ,NC ,18 
15609260 ,CAROLINA PRECISION FIREARMS LLC ,2725 NORTH CHURCH ST ,ROCKY MOUNT ,NC ,11 
15604330 ,CHATHAM ARMS LLC ,130 MINT SPRINGS RD ,PITTSBORO ,NC ,1 
15602965 ,CNC WARRIOR LLC ,605 TODDVILLE RD ,CHARLOTTE ,NC ,7 
15606556 ,COOPER TECHNICAL SERVICES INC ,4527 HWY 117 S ,ROSE HILL ,NC ,8 
15608828 ,CRITICAL CAPABILITIES LLC ,1509 ZINNIA CT ,FAYETTEVILLE ,NC ,1 
15607443 ,DAMIEN RISTAINO LLC ,15037 DESHLER CT ,CHARLOTTE ,NC ,1 
15606056 ,"DAVIS, JOSH & RONNIE PARTNERSHIP, LLP ",1901 LIBERTY DR ,THOMASVILLE ,NC ,114 


