Table
RDS KEY ,LICENSE NAME ,STREEI ,CITY ,ST ,MISC FA MFG 
54701164 ,"CHAMBERS, JIMMIE JOE III ",2175 COUNTY RD K ,CRETE ,NE ,2 
54701179 ,PERFECT TURNING INC ,218 E THIRD STREET ,KIMBALL ,NE ,5 
60201341 ,AERODYNAMICS INC ,142 BATCHELDER RD ,SEABROOK ,NH ,1 
60202225 ,BZGUNZ LLC ,22 STOCKWELL HILL RD ,GILMANTON ,NH ,6 
60201012 ,MATRIX AEROSPACE CORPORATION ,421 RIVER ROAD ,CLAREMONT ,NH ,1838 
60201410 ,PRECISION TOOL & MOLDING LLC ,22 MANCHESTER RD ,DERRY ,NH ,34746 
60201484 ,"STURM, RUGER & COMPANY, INC ",411 SUNAPEE ST ,NEWPORT ,NH ,3 
60200735 ,"STURM, RUGER & COMPANY, INC ",529 SUNAPEE ST ,NEWPORT ,NH ,17 
82201292 ,CARLUCCI ARMS LLC ,3 ASPEN DR STE ,RANDOLPH ,NJ ,16 
58501481 ,ELYSIUM ARMS LLC ,101 BACON ST ,RATON ,NM ,4 
58502074 ,"FIREBIRD PRECISION FIREARMS, LLC ",#28 COUNTY RD B027 ,MOUNTAINAIR ,NM ,74 
58501837 ,OMNI ARMS LLC ,11215 CENTRAL AVE NE ,ALBUQUERQUE ,NM ,7 
58501773 ,"PHILLIPS, BYRON KEITH ",108 W ALBERTSON DR ,HOBBS ,NM ,8 
98803415 ,BATTLE ARMS DEVELOPMENT INC ,180 CASSIA WAY STE 510 ,HENDERSON ,NV ,534 
98803103 ,BILLET RIFLE SYSTEMS LLC ,821 BUCKSKIN CT ,GARDNERVILLE ,NV ,99 
98803399 ,CBE INC ,2241 D PARK PLACE ,MINDEN ,NV ,76 
98803310 ,MILEHAM ENTERPRISES LLC ,750 FREEPORT BLVD STE 104 ,SPARKS ,NV ,14 
98802654 ,PRECISION GROUP INC ,175 CASSIA WAY SUITE 118 ,HENDERSON ,NV ,1 
98802268 ,STRIP GUN CLUB LLC ,2235 LAS VEGAS BLVD S ,LAS VEGAS ,NV ,6 
98803382 ,WATERJET MACHINE INC ,4855 JOULE ST #B3 ,RENO ,NV ,6 
61602828 ,AX TACTICAL LLC ,4947 COMMERCIAL DR STE 2 ,YORKVILLE ,NY ,110 
61603144 ,BLUE TUNA GUNSMITHING LLC ,870 ONTARIO ST EXT ,KENMORE ,NY ,27 
61603367 ,CPP-STEEL TREATERS INC ,100 FURNACE ST ,ORISKANY ,NY ,31215 
61101081 ,DARK STORM INDUSTRIES LLC ,255C CARLETON AVE ,EAST ISLIP ,NY ,180 
61603100 ,FERMER PRECISION INC ,114 JOHNSON RD ,ILION ,NY ,3554 
61602475 ,REMINGTON ARMS COMPANY LLC ,14 HOEFLER AVE ,ILION ,NY ,2482 
61602403 ,"REYNOLDS, DIANE L & JEFFREY D ",5405 ROUTE 62 ,CONEWANGO VALLEY ,NY ,201 
61603103 ,TEMPLE MACHINE LLC ,71 TEMPLE STREET ,OWEGO ,NY ,2 
43404632 ,BULA FORGE & MACHINE INC ,3001 W 121ST ST ,CLEVELAND ,OH ,21 
43404523 ,CBO ACQUISITION INC ,836 BROADWAY AVE ,CLEVELAND ,OH ,48 
43103524 ,"CISZEK, JOHN EDWARD III ",11922 STOCKWELL RD #2 ,SUNBURY ,OH ,3 
43104234 ,FAXON FIREARMS LLC ,11101 ADWOOD DR ,CINCINNATI ,OH ,8 
43101446 ,"FOREMAN, TIMOTHY KURT ",6990 ELIZABETH BETHEL RD ,TIPP CITY ,OH ,509 
43103909 ,KAYJAY ENTERPRISES LLC ,3023 LINDALE MT HOLLY RD ,AMELIA ,OH ,42 
43437065 ,KELBLY'S RIFLE RANGE INC ,7222 DALTON FOX LAKE RD ,NORTH LAWRENCE ,OH ,329 


