Table
NAME ,STREET ,City ,ST ,RIFLE EXP
,,SAINT CLOUD ,MN ,779
EDGE GUN WORKS LLC ,17154 CR 180 ,BOGARD ,MO ,4
,,FORT SHAW ,MT ,4
,,BIG TIMBER ,MT ,27
,,STEVENSVILLE ,MT ,32
RIFLE COMPANY ,3174 MT HWY 35 ,KALISPELL ,MT ,3
,,BIG TIMBER ,MT ,10
INC ,10620 SOUTHERN LOOP BLVD ,PINEVILLE ,NC ,1
INC ,12 & 18 INDUSTRIAL DR ,EXETER ,NH ,2228
,,ROCHESTER ,NH ,2963
,,NEWPORT ,NH ,25044
HOLDING CORP ,59 E 1ST ST ,BAYONNE ,NJ ,4616
,,BERNARDSVILLE ,NJ ,1
RIFLE CORP ,9732 HWY 180 W ,SILVER CITY ,NM ,1
SPORTS INTERNATIONAL LLC ,4750 LONGLEY LN STE 207-210 ,RENO ,NV ,3403
,,YONKERS ,NY ,436
,,ILION ,NY ,3
"WHOLESALE, INC ",100 AIRPARK DR ,ROCHESTER ,NY ,373
,,CANANDAIGUA ,NY ,288
,,NORTH LAWRENCE ,0H ,135
SHAWN ,10007 FRANCHESTER RD ,BURBANK ,0H ,3
,,CHARDON ,0H ,21
GREGORY F ,158 WEST WILBETH RD UNIT A ,AKRON ,0H ,17
INC ,107 SW COLUMBIA ST ,BEND ,0R ,81
,,PENDLETON ,0R ,2
,,SPRINGVILLE ,PA ,7
,,WILLIAMSPORT ,PA ,175
,,RAPID CITY ,SD ,242
"ARMS, INC ",INDUSTRIAL BLVD MAVERICK CO DEVLPT PARK ,EAGLE PASS ,TX ,14106
"IMPORT/EXPORT, LLC ",925 W 100 N SUITE A ,NORTH SALT LAKE ,UT ,342
,,SALT LAKE CITY ,UT ,139
ALLEN WAYNE ,264 BENCHREST LN ,CONCORD ,VA ,8
,"4-180, 4- ",VIRGINIA BEACH ,VA ,308
,,STERLING ,VA ,6
"& EXPLOSIVES SERVICES DIVISION, ","BUREAU OF ALCOHOL, TOBACCO, ",For Official Use Only ,,


Table
34103584 ,REMINGTON ARMS COMPANY LLC ,3312 12TH ST SE
54303892 ,COMPETITIVE ,
98101051 ,"ALLEN, KIRBY LEROY ",99 STEVENSON RD
98133799 ,POWDER RIVER RIFLE CO INC ,201 CENTENNIAL DR
98101132 ,COOPER FIREARMS OF MONTANA INC ,3662 US HWY 93 NORTH
98101151 ,MONTANA ,
98155388 ,C SHARPS ARMS CO INC ,100 CENTENNIAL DR
15604309 ,PARA USA ,
60201128 ,SIG SAUER ,
60200897 ,THOMPSON CENTER ARMS CO INC ,400 NORTH MAIN STREET
60200735 ,"STURM, RUGER & COMPANY, INC ",529 SUNAPEE ST
82200698 ,HENRY RAC ,
82200281 ,GRIFFIN & HOWE INC ,33 CLAREMONT RD
58500280 ,BORCHARDT ,
98800913 ,LEGACY ,
61334276 ,KIMBER MFG INC ,1 LAWTON ST
61602475 ,REMINGTON ARMS COMPANY LLC ,14 HOEFLER AVE
61601132 ,AMCHAR ,
61602170 ,JUST RIGHT CARBINES LLC ,231 SALTONSTALL ST
43437065 ,KELBLY'S RIFLE RANGE INC ,7222 DALTON FOX LAKE RD
43403105 ,"CHESHIER, ",
43401651 ,0HIO ORDNANCE WORKS INC ,305 AND 310 PARK DR
43402493 ,"WELLS, ",
99301142 ,"NOSLER, ",
99302489 ,HAMLEYS LLC ,30 SE COURT AVE
82338992 ,"BORDEN, JAMES F ",1325 SHELDON HILL ROAD
82300479 ,PNEU DART INC ,15223 STATE ROUTE 87
34633475 ,H S PRECISION INC ,1301 TURBINE DR
57434208 ,MAVERICK ,
98734724 ,ZDF ,
98701385 ,DESERT TECHNOLOGY & MFG LLC ,1995 WEST ALEXANDER STREET
15403090 ,"CAMPBELL, ",
15402925 ,"KRISS USA, INC ",2697 INTERNATIONAL PKWY STE
15409602 ,POLARIS DEVELOPMENT CORP ,140 & 3-136 22650 EXECUTIVE DR STE 137


