Table
,,,STREET ,CITY ,ST ,RIFLE MFG
GUN WORKS LLC ,,,6104 AQUILLA CREEK RD ,EAST BEND ,NC ,1
,,,9283 US HWY 220 BUSINESS NORTH ,RANDLEMAN ,NC ,7
GUNWORKS ,,,2623 BOONE TRAIL ,NORTH WILKESBORO ,NC ,25
MACHINE INC ,,,1434 FARRINGTON RD ,APEX ,NC ,219
A ,,,100 RADCLIFFE CIRCLE ,JACKSONVILLE ,NC ,7
,,,130 MINT SPRINGS RD ,PITTSBORO ,NC ,3
INC ,,,9283 BUS 220 N ,RANDLEMAN ,NC ,2
,,,605 TODDVILLE RD ,CHARLOTTE ,NC ,3
SERVICES INC ,,,4527 HWY 117 S ,ROSE HILL ,NC ,2
"& MACHINE, LLC ",,,133 CASTLE LN ,ZIONVILLE ,NC ,7
"PARTNERSHIP, LLP ",,,1901 LIBERTY DR ,THOMASVILLE ,NC ,98
,,,330 AVIATION PARKWAY ,ELIZABETHTOWN ,NC ,4854
INC ,,,421 LAKE DR ,WINSTON SALEM ,NC ,2
PLATING & WEAPONRY LLC ,,,1920 B TOWER INDUSTRIAL DR ,MONROE ,NC ,699
CARTER ,,,473 ROBBINS RD ,YOUNGSVILLE ,NC ,5
,,,413 WHITE HAT RD ,HERTFORD ,NC ,2
,,,3305 WESTWOOD INDUSTRIAL DR ,MONROE ,NC ,1737
LLC ,,,1107 N BRAGG BLVD STE 105 ,SPRING LAKE ,NC ,2
COMPANY OF SANFORD ,,,INC 1604 BOONE TRAIL RD ,SANFORD ,NC ,139
MARTIN ,,,108 S HILL ST ,FAISON ,NC ,6
J ,,,1001 W B MCLEAN BLVD ,CAPE CARTERET ,NC ,3
"& PAWN LLC, THE ",,,1302 W MAIN ST ,FOREST CITY ,NC ,26
,,,10620 SOUTHERN LOOP BLVD ,PINEVILLE ,NC ,1415
,,,6104-118 WESTGATE RD ,RALEIGH ,NC ,20
,,,306 MARCHMONT DR ,ADVANCE ,NC ,2
LLC ,,,201 REMINGTON LANE ,CARTHAGE ,NC ,16
MEDLIN ,,,19810 NC HIGHWAY 210 ,ROCKY POINT ,NC ,410
COLE & SELBY EDGAR ,,,70 ORMOND RD ,BATH ,NC ,3
JOSEPH ,,,424 PETERSBURG RD ,RICHLANDS ,NC ,4
LLC ,,,104 BUTTERMILK WAY ,APEX ,NC ,6
LLC ,,,4004 MOSER CIRCLE UNIT B ,INDIAN TRAIL ,NC ,2
RIFLES LLC ,,,3317 CANDLEWICK WAY ,GASTONIA ,NC ,24


